#,Player,Group,Team,Matches,Catches,WK Catches,Direct RO,InDirect RO,Stumpings,Total,Points
75,Raghuveer Bethelli,B,Parsippany Phoenix XI,14,8,0,2,0,0,10,120
76,Avi Shah,A,Gujarat United XI,14,7,0,3,0,0,10,130
77,Yogesh Patel,B,11spartans,11,3,7,0,0,0,10,100
78,Jatan Vaidya,B,Juggernaut,11,7,1,2,0,0,10,120
79,Muhammad Haseeb,B,Nj Stars CC,15,7,0,2,1,0,10,120
80,Uma Maheswara Rao Patibandla,B,Veerans,8,6,1,2,1,0,10,120
81,Nirav Patel,B,Jetha 11,14,10,0,0,0,0,10,100
82,Amin Khatri,B,Maha CC,12,10,0,0,0,0,10,100
83,Rushi Makwana,A,Nj Braves,11,10,0,0,0,0,10,100
84,Bhargav Reddy Napa,B,Plainsboro Eagles,13,9,0,1,0,0,10,110
85,Danish Shaikh,B,Maha CC,11,9,0,1,0,0,10,110
86,Hemil Patel,B,Piscataway Avengers,13,9,0,0,1,0,10,100
87,Imran Raja,B,Nj Stars CC,14,8,0,1,1,0,10,110
88,Umesh Jain,B,Maha CC,7,4,6,0,0,0,10,100
89,Shri Patel,A,Pway Lions,11,10,0,0,0,0,10,100
90,Manan Patel,B,Juggernaut,15,8,2,0,0,0,10,100
91,Sachin Rathod,A,Hudson Hurricanes,12,10,0,0,0,0,10,100
92,Neel Patel,A,Pway Lions,13,8,2,0,0,0,10,100
93,Rupak Das,B,Edison Rebelz,12,0,7,1,2,0,10,110
94,Savan Patel,A,RHG,14,3,3,1,0,2,9,120
95,Manthan Patel,A,Blasters,12,8,0,1,0,0,9,100
96,Neel Patel-13,B,11spartans,13,8,0,1,0,0,9,100
97,Gowtham Akula,A,Plainsboro Knights,14,8,0,1,0,0,9,100
98,Azam Mohammad,A,PUNJAB XI,13,7,0,2,0,0,9,110
99,Srinivas Darbha,B,Plainsboro Eagles,8,1,8,0,0,0,9,90
100,Sanjeev Sharma,B,Rowdy Rebels,10,1,8,0,0,0,9,90
101,Mubassir Mansuri,B,Nj Tigers,11,9,0,0,0,0,9,90
102,Ashish Shetty,A,Samudhra Gladiators,12,8,1,0,0,0,9,90
103,Lovely Singh,A,PUNJAB XI,13,9,0,0,0,0,9,90
104,Haren Patel,B,Jetha 11,10,8,0,1,0,0,9,100
105,Hardik Bhilota,A,Nj Braves,14,8,0,1,0,0,9,100
106,Ranjan Patel,B,Veerans,7,1,7,0,1,0,9,90
