#,Player,Group,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb,Points
121,Nataraj Palaniyappan,B,Plainsboro Hunters,9,7,25.0,120,16,9/ 3,3,90,4.80,7.50,9.4,0,0,0,11,0,421
122,Akash Reddy Karka,C,Trident CC,12,11,35.2,175,16,11/ 4,1,128,4.95,10.94,13.2,0,1,0,15,1,403
123,Nakul Limbachiya,D,Vikings CC,11,10,30.0,154,16,9/ 4,2,104,5.13,9.62,11.2,0,2,0,17,2,413
124,Ravi Rathod,D,Shreeji XI,9,9,22.2,115,16,12/ 4,0,87,5.15,7.19,8.4,0,2,0,23,2,383
125,Prasad Fernando,A,NJ Boxers,13,13,44.2,230,16,10/ 4,3,154,5.19,14.38,16.6,0,1,0,8,4,447
126,Sakthivel Jagadeesan,B,Monroe Mavericks,14,13,36.0,187,16,12/ 3,1,118,5.19,11.69,13.5,0,0,0,22,1,396
127,Rohit Sharma,C,Nj Warriors,13,13,42.4,225,16,4/ 4,5,153,5.27,14.06,16.0,0,1,0,7,6,471
128,Sandeep Bikumalla,D,Jc Mavericks,11,10,28.2,153,16,16/ 4,1,87,5.40,9.56,10.6,0,1,0,8,1,388
129,Arun Tamilarasan,A,Edison Super Kings,8,8,30.3,166,16,8/ 3,0,86,5.44,10.38,11.4,0,0,0,13,0,375
130,Veeraswamy Veeramreddy,B,Express Rangers,11,11,29.4,163,16,14/ 4,1,99,5.49,10.19,11.1,0,1,0,13,2,390
131,Jay Trivedi,D,Shreeji XI,11,11,28.3,160,16,7/ 5,1,111,5.61,10.00,10.7,0,0,1,17,2,384
132,Hitesh Pandya,C,Invincible CC,9,9,30.0,171,16,9/ 5,2,101,5.70,10.69,11.2,0,1,1,12,1,404
133,arockia prabakar lazar,A,Edison Super Kings,11,10,34.0,194,16,17/ 4,1,123,5.71,12.12,12.8,0,1,0,31,6,386
134,Pradeep Krishnapatnam,B,Firehawks,10,11,41.0,235,16,32/ 4,2,143,5.73,14.69,15.4,0,1,0,14,6,406
135,Prakash Baskar,D,Bayonne CC,14,11,35.0,214,16,13/ 3,1,114,6.11,13.38,13.1,0,0,0,30,0,382
136,Shiv K,C,Edison Kings,7,7,21.5,136,16,9/ 4,1,76,6.23,8.50,8.2,0,2,0,10,1,379
137,Imran Khan,B,EB Strikers,11,11,36.0,229,16,18/ 3,0,111,6.36,14.31,13.5,0,0,0,20,2,369
138,Ajith Nalluri,D,Vikings CC,10,9,23.2,152,16,13/ 4,2,73,6.51,9.50,8.8,0,2,0,7,3,403
139,Tushar Patel,D,TRIDENTS XI,15,12,38.2,280,16,27/ 4,1,118,7.30,17.50,14.4,0,1,0,12,5,392
140,Phanikumar Bellamkonda,C,Incredibulls,7,7,25.2,94,15,6/ 5,1,99,3.71,6.27,10.1,0,0,1,11,0,378
141,Vishal Choudhary,B,JC Warriors,6,6,16.3,65,15,14/ 4,0,54,3.94,4.33,6.6,0,1,0,13,1,358
142,Nish Patel,B,Pway Cubs,7,7,22.0,87,15,38/ 4,3,92,3.95,5.80,8.8,0,1,0,8,2,409
143,Harshal Ghangale,A,Mag11,15,15,46.0,194,15,7/ 4,1,168,4.22,12.93,18.4,0,1,0,20,1,419
144,Sai Ch,A,Phoenix Flyers,12,12,42.0,181,15,7/ 3,1,153,4.31,12.07,16.8,0,0,0,17,3,387
145,Harsh Mehta,D,NJ Titans,9,9,34.0,149,15,14/ 5,2,142,4.38,9.93,13.6,0,0,1,19,4,404
146,Venkat Guttikonda,D,Morris Indians,11,11,39.0,179,15,5/ 3,1,147,4.59,11.93,15.6,0,0,0,23,1,387
147,Sanketh Shetty,B,United Falcons,9,8,25.0,128,15,17/ 4,1,85,5.12,8.53,10.0,0,2,0,22,1,366
148,Suman Maramreddy,D,Sparta XI,9,9,36.0,194,15,11/ 4,2,133,5.39,12.93,14.4,0,1,0,7,2,381
149,Nitesh C,D,Plainsboro Panthers,12,10,29.3,162,15,7/ 3,0,87,5.49,10.80,11.8,0,0,0,20,0,351
150,Praveen Kaushal,D,Power Hitters,13,13,39.0,216,15,14/ 3,1,123,5.54,14.40,15.6,0,0,0,23,1,386
151,Bhavik B Chokshi,A,GoldFinch Cricket Club,10,9,26.3,147,15,4/ 4,0,94,5.55,9.80,10.6,0,2,0,20,2,348
152,Sajin Shaji,A,Staten Island Strikers,12,12,43.2,251,15,19/ 3,4,148,5.79,16.73,17.3,0,0,0,21,2,413
153,Raghav Arora,A,Secaucus Fighters,10,10,36.4,213,15,21/ 4,1,127,5.81,14.20,14.7,0,1,0,10,3,377
154,Siva Musuluri,B,MKCC Weekenders,8,8,23.2,143,15,9/ 4,0,79,6.13,9.53,9.3,0,1,0,11,2,350
155,Ankith Nayakoti,C,Telugu Titans - Weekenders,6,6,20.3,126,15,11/ 5,1,74,6.15,8.40,8.2,0,0,1,8,2,365
156,Nikunj Malpani,B,United Falcons,12,12,36.4,227,15,15/ 3,0,126,6.19,15.13,14.7,0,0,0,10,6,342
157,Nagaraja Pandiyan Moorthy,B,Plainsboro Hunters,12,12,38.4,268,15,17/ 4,1,118,6.93,17.87,15.5,0,1,0,12,4,358
158,Sreenath Dande,B,Troy Titans,14,13,35.5,255,15,11/ 3,1,100,7.12,17.00,14.3,0,0,0,14,5,366
