match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1191993,Chepauk Super Gillies v Lyca Kovai Kings,13th Match,2019-07-28T13:45Z,,Chepauk Super Gillies,"116/1 (13.3/20 ov, target 116)",Lyca Kovai Kings,115/9,Lyca Kovai Kings,210
1191994,Dindigul Dragons v Ruby Trichy Warriors,20th Match,2019-08-03T09:45Z,,Dindigul Dragons,"182/5 (19.1/20 ov, target 179)",Trichy Grand Cholas,178/3,Trichy Grand Cholas,245
1191995,Lyca Kovai Kings v Siechem Madurai Panthers,18th Match,2019-08-02T09:45Z,,Lyca Kovai Kings,"172/9 (20 ov, target 196)",Siechem Madurai Panthers,195/5,Siechem Madurai Panthers,241
1191996,Idream Karaikudi Kaalai v TUTI Patriots,17th Match,2019-08-01T13:45Z,,IDream Tiruppur Tamizhans,"118/8 (20 ov, target 176)",SKM Salem Spartans,175/4,SKM Salem Spartans,244
1191997,Chepauk Super Gillies v VB Kanchi Veerans,19th Match,2019-08-02T13:45Z,,Chepauk Super Gillies,191/3,VB Kanchi Veerans,"130 (19.2/20 ov, target 192)",VB Kanchi Veerans,255
1191998,Dindigul Dragons v Lyca Kovai Kings,25th Match,2019-08-07T13:45Z,,Dindigul Dragons,"99 (18.5/20 ov, target 135)",Lyca Kovai Kings,134/8,Lyca Kovai Kings,245
1191999,Idream Karaikudi Kaalai v Siechem Madurai Panthers,26th Match,2019-08-08T13:45Z,,IDream Tiruppur Tamizhans,93,Siechem Madurai Panthers,"97/8 (18.1/20 ov, target 94)",Siechem Madurai Panthers,230
1192000,Chepauk Super Gillies v TUTI Patriots,27th Match,2019-08-09T09:45Z,,Chepauk Super Gillies,127,SKM Salem Spartans,"95 (18.5/20 ov, target 128)",SKM Salem Spartans,246
1192001,Ruby Trichy Warriors v VB Kanchi Veerans,28th Match,2019-08-09T13:45Z,,Trichy Grand Cholas,121/7,VB Kanchi Veerans,"122/3 (19.1/20 ov, target 122)",VB Kanchi Veerans,240
1192002,Dindigul Dragons v Chepauk Super Gillies,1st Qualifier,2019-08-11T09:45Z,,Dindigul Dragons,"164/7 (20 ov, target 170)",Chepauk Super Gillies,169/7,Chepauk Super Gillies,251
1192003,Siechem Madurai Panthers v VB Kanchi Veerans,Eliminator,2019-08-11T13:45Z,,Siechem Madurai Panthers,"152/5 (20 ov, target 152)",VB Kanchi Veerans,151/6,VB Kanchi Veerans,249
1192004,Dindigul Dragons v Siechem Madurai Panthers,2nd Qualifier,2019-08-13T13:45Z,,Dindigul Dragons,175/6,Siechem Madurai Panthers,"130 (19.5/20 ov, target 176)",Siechem Madurai Panthers,247
1192005,Chepauk Super Gillies v Dindigul Dragons,Final,2019-08-15T13:45Z,,Chepauk Super Gillies,126/8,Dindigul Dragons,"114/9 (20 ov, target 127)",Dindigul Dragons,244
