match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1191974,Dindigul Dragons v Chepauk Super Gillies,1st Match,2019-07-19T13:45Z,,Dindigul Dragons,115/9,Chepauk Super Gillies,"105/9 (20 ov, target 116)",Chepauk Super Gillies,250
1191975,TUTI Patriots v Siechem Madurai Panthers,3rd Match,2019-07-20T13:45Z,,SKM Salem Spartans,124/8,Siechem Madurai Panthers,"128/1 (12.2/20 ov, target 125)",Siechem Madurai Panthers,207
1191976,Idream Karaikudi Kaalai v Ruby Trichy Warriors,2nd Match,2019-07-20T09:45Z,,IDream Tiruppur Tamizhans,171/5,Trichy Grand Cholas,171/5 (20 ov),Trichy Grand Cholas,243
1191977,Lyca Kovai Kings v VB Kanchi Veerans,4th Match,2019-07-21T13:45Z,,Lyca Kovai Kings,"151/2 (15.2/20 ov, target 151)",VB Kanchi Veerans,150/6,VB Kanchi Veerans,225
1191978,Dindigul Dragons v Siechem Madurai Panthers,5th Match,2019-07-22T13:45Z,,Dindigul Dragons,182/6,Siechem Madurai Panthers,"152/9 (20 ov, target 183)",Siechem Madurai Panthers,249
1191979,Chepauk Super Gillies v Ruby Trichy Warriors,6th Match,2019-07-23T13:45Z,,Chepauk Super Gillies,148/6,Trichy Grand Cholas,"107/9 (20 ov, target 149)",Trichy Grand Cholas,250
1191980,TUTI Patriots v Lyca Kovai Kings,8th Match,2019-07-25T13:45Z,,SKM Salem Spartans,155/5 (13/13 ov),Lyca Kovai Kings,"149/7 (13 ov, target 156)",Lyca Kovai Kings,170
1191981,Idream Karaikudi Kaalai v VB Kanchi Veerans,7th Match,2019-07-24T13:45Z,,IDream Tiruppur Tamizhans,"67 (14.4/20 ov, target 178)",VB Kanchi Veerans,177/4,VB Kanchi Veerans,218
1191982,Lyca Kovai Kings v Ruby Trichy Warriors,11th Match,2019-07-27T13:45Z,,Lyca Kovai Kings,161/6,Trichy Grand Cholas,"135 (19/20 ov, target 162)",Trichy Grand Cholas,246
1191983,Chepauk Super Gillies v Idream Karaikudi Kaalai,9th Match,2019-07-26T13:45Z,,Chepauk Super Gillies,175/8,IDream Tiruppur Tamizhans,"121/8 (20 ov, target 176)",IDream Tiruppur Tamizhans,248
1191984,Dindigul Dragons v TUTI Patriots,10th Match,2019-07-27T09:45Z,,Dindigul Dragons,173/7,SKM Salem Spartans,"133/9 (20 ov, target 174)",SKM Salem Spartans,249
1191985,Siechem Madurai Panthers v VB Kanchi Veerans,12th Match,2019-07-28T09:45Z,,Siechem Madurai Panthers,138/9,VB Kanchi Veerans,"141/3 (19/20 ov, target 139)",VB Kanchi Veerans,241
1191986,Idream Karaikudi Kaalai v Lyca Kovai Kings,22nd Match,2019-08-04T13:45Z,,IDream Tiruppur Tamizhans,"139/7 (20 ov, target 155)",Lyca Kovai Kings,154/7,Lyca Kovai Kings,246
1191987,Dindigul Dragons v VB Kanchi Veerans,23rd Match,2019-08-05T13:45Z,,Dindigul Dragons,"134/3 (18.1/20 ov, target 134)",VB Kanchi Veerans,133/8,VB Kanchi Veerans,241
1191988,Chepauk Super Gillies v Siechem Madurai Panthers,21st Match,2019-08-03T13:45Z,,Chepauk Super Gillies,"139/8 (20 ov, target 173)",Siechem Madurai Panthers,172/7,Siechem Madurai Panthers,245
1191989,TUTI Patriots v Ruby Trichy Warriors,24th Match,2019-08-06T13:45Z,,SKM Salem Spartans,"160/7 (20 ov, target 178)",Trichy Grand Cholas,177/4,Trichy Grand Cholas,250
1191990,Dindigul Dragons v Idream Karaikudi Kaalai,14th Match,2019-07-29T13:45Z,,Dindigul Dragons,"161/0 (17/20 ov, target 159)",IDream Tiruppur Tamizhans,158/7,IDream Tiruppur Tamizhans,227
1191991,Ruby Trichy Warriors v Siechem Madurai Panthers,16th Match,2019-07-31T13:45Z,,Trichy Grand Cholas,142/6,Siechem Madurai Panthers,142/6 (20 ov),Siechem Madurai Panthers,249
1191992,TUTI Patriots v VB Kanchi Veerans,15th Match,2019-07-30T13:45Z,,SKM Salem Spartans,"135/8 (20 ov, target 194)",VB Kanchi Veerans,193/3,VB Kanchi Veerans,256
