match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1047343,Chepauk Super Gillies v Albert TUTI Patriots,1st Match,2016-08-24T13:00Z,,Chepauk Super Gillies,"119 (19.4/20 ov, target 165)",SKM Salem Spartans,164/5,SKM Salem Spartans,225
1047345,Karaikudi Kaalai v VB Thiruvallur Veerans,2nd Match,2016-08-25T13:00Z,,IDream Tiruppur Tamizhans,165/6,Nellai Royal Kings,"167/5 (18.4/20 ov, target 166)",Nellai Royal Kings,240
1047347,Lyca Kovai Kings v Ruby Kanchi Warriors,3rd Match,2016-08-26T13:00Z,,Lyca Kovai Kings,126/7,Trichy Grand Cholas,126/7 (20 ov),Trichy Grand Cholas,248
1047349,Dindigul Dragons v Madurai Super Giant,4th Match,2016-08-27T09:00Z,,Dindigul Dragons,142/9 (18/18 ov),Siechem Madurai Panthers,"131/7 (18 ov, target 146)",Siechem Madurai Panthers,220
1047351,Chepauk Super Gillies v Karaikudi Kaalai,5th Match,2016-08-28T09:00Z,,Chepauk Super Gillies,195/9,IDream Tiruppur Tamizhans,"128 (17.1/20 ov, target 196)",IDream Tiruppur Tamizhans,243
1047353,Madurai Super Giant v VB Thiruvallur Veerans,6th Match,2016-08-29T13:00Z,,Siechem Madurai Panthers,"137/7 (20 ov, target 144)",Nellai Royal Kings,143/9,Nellai Royal Kings,249
1047355,Dindigul Dragons v Ruby Kanchi Warriors,7th Match,2016-08-30T13:00Z,,Dindigul Dragons,159/7,Trichy Grand Cholas,"111/9 (20 ov, target 160)",Trichy Grand Cholas,248
1047357,Lyca Kovai Kings v Albert TUTI Patriots,8th Match,2016-08-31T13:00Z,,Lyca Kovai Kings,"96/1 (12.5/20 ov, target 96)",SKM Salem Spartans,95,SKM Salem Spartans,202
1047359,Dindigul Dragons v VB Thiruvallur Veerans,9th Match,2016-09-01T13:00Z,,Dindigul Dragons,163/3,Nellai Royal Kings,"134/9 (20 ov, target 164)",Nellai Royal Kings,256
1047361,Lyca Kovai Kings v Madurai Super Giant,10th Match,2016-09-02T13:00Z,,Lyca Kovai Kings,199/7,Siechem Madurai Panthers,"189/7 (20 ov, target 200)",Siechem Madurai Panthers,248
1047363,Karaikudi Kaalai v Albert TUTI Patriots,11th Match,2016-09-03T09:00Z,,IDream Tiruppur Tamizhans,111/8,SKM Salem Spartans,"103/9 (20 ov, target 112)",SKM Salem Spartans,247
1047365,Chepauk Super Gillies v Ruby Kanchi Warriors,12th Match,2016-09-03T13:00Z,,Chepauk Super Gillies,"103/3 (11.5/13 ov, target 98)",Trichy Grand Cholas,97 (13/13 ov),Trichy Grand Cholas,156
1047367,Dindigul Dragons v Albert TUTI Patriots,13th Match,2016-09-04T13:00Z,,Dindigul Dragons,120/7 (20 ov),SKM Salem Spartans,120/9,SKM Salem Spartans,245
1047369,Ruby Kanchi Warriors v VB Thiruvallur Veerans,14th Match,2016-09-05T09:00Z,,Trichy Grand Cholas,"164/9 (20 ov, target 207)",Nellai Royal Kings,206/4,Nellai Royal Kings,249
1047371,Chepauk Super Gillies v Lyca Kovai Kings,15th Match,2016-09-05T13:00Z,,Chepauk Super Gillies,"126/9 (20 ov, target 138)",Lyca Kovai Kings,137/7,Lyca Kovai Kings,246
1047373,Madurai Super Giant v Karaikudi Kaalai,16th Match,2016-09-06T13:00Z,,Siechem Madurai Panthers,"97 (16.1/20 ov, target 150)",IDream Tiruppur Tamizhans,149/7,IDream Tiruppur Tamizhans,223
1047375,VB Thiruvallur Veerans v Albert TUTI Patriots,17th Match,2016-09-07T13:00Z,,Nellai Royal Kings,141/9,SKM Salem Spartans,"144/4 (19.3/20 ov, target 142)",SKM Salem Spartans,244
1047377,Chepauk Super Gillies v Dindigul Dragons,18th Match,2016-09-08T13:00Z,,Chepauk Super Gillies,172/6,Dindigul Dragons,"166/5 (20 ov, target 173)",Dindigul Dragons,245
1047379,Ruby Kanchi Warriors v Madurai Super Giant,19th Match,2016-09-09T09:00Z,,Trichy Grand Cholas,"139/3 (17.3/20 ov, target 136)",Siechem Madurai Panthers,135/9,Siechem Madurai Panthers,230
1047381,Lyca Kovai Kings v Karaikudi Kaalai,20th Match,2016-09-09T13:00Z,,Lyca Kovai Kings,"123/9 (20 ov, target 160)",IDream Tiruppur Tamizhans,159/5,IDream Tiruppur Tamizhans,245
1047383,Chepauk Super Gillies v Madurai Super Giant,21th Match,2016-09-10T09:00Z,,Chepauk Super Gillies,178/5,Siechem Madurai Panthers,"123/9 (20 ov, target 179)",Siechem Madurai Panthers,246
1047385,Lyca Kovai Kings v VB Thiruvallur Veerans,22nd Match,2016-09-10T13:00Z,,Lyca Kovai Kings,"168/5 (20 ov, target 171)",Nellai Royal Kings,170/6,Nellai Royal Kings,249
1047387,Dindigul Dragons v Karaikudi Kaalai,23rd Match,2016-09-11T09:00Z,,Dindigul Dragons,"126/3 (16.3/20 ov, target 126)",IDream Tiruppur Tamizhans,125/9,IDream Tiruppur Tamizhans,225
1047389,Ruby Kanchi Warriors v Albert TUTI Patriots,24th Match,2016-09-11T13:00Z,,Trichy Grand Cholas,145/8,SKM Salem Spartans,"150/1 (16.3/20 ov, target 146)",SKM Salem Spartans,223
1047391,Chepauk Super Gillies v VB Thiruvallur Veerans,25th Match,2016-09-12T13:00Z,,Chepauk Super Gillies,154/3,Nellai Royal Kings,"113/9 (20 ov, target 155)",Nellai Royal Kings,248
1047393,Lyca Kovai Kings v Dindigul Dragons,26th Match,2016-09-13T09:00Z,,Lyca Kovai Kings,147/6,Dindigul Dragons,"131/8 (20 ov, target 148)",Dindigul Dragons,248
1047395,Madurai Super Giant v Albert TUTI Patriots,27th Match,2016-09-13T13:00Z,,Siechem Madurai Panthers,"134/8 (20 ov, target 168)",SKM Salem Spartans,167/6,SKM Salem Spartans,248
1047397,Ruby Kanchi Warriors v Karaikudi Kaalai,28th Match,2016-09-14T13:00Z,,Trichy Grand Cholas,120/8,IDream Tiruppur Tamizhans,"122/7 (18.5/20 ov, target 121)",IDream Tiruppur Tamizhans,240
1047399,Dindigul Dragons v Albert TUTI Patriots,1st Semi-final,2016-09-16T13:00Z,,Dindigul Dragons,"149/8 (20 ov, target 188)",SKM Salem Spartans,187/7,SKM Salem Spartans,250
1047401,Chepauk Super Gillies v Lyca Kovai Kings,2nd Semi-final,2016-09-17T13:00Z,,Chepauk Super Gillies,161/7,Lyca Kovai Kings,"144/9 (20 ov, target 162)",Lyca Kovai Kings,254
1047403,Albert TUTI Patriots v Chepauk Super Gillies,Final,2016-09-18T13:00Z,,SKM Salem Spartans,215/2,Chepauk Super Gillies,"93 (18.5/20 ov, target 216)",Chepauk Super Gillies,246
