match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1149553,Dindigul Dragons v Ruby Trichy Warriors,1st Match,2018-07-11T13:45Z,,Dindigul Dragons,172/8,Trichy Grand Cholas,"175/6 (19.5/20 ov, target 173)",Trichy Grand Cholas,247
1149554,Siechem Madurai Panthers v Dindigul Dragons,2nd Match,2018-07-13T13:45Z,,Siechem Madurai Panthers,169/6,Dindigul Dragons,"170/1 (15.2/20 ov, target 170)",Dindigul Dragons,220
1149555,Chepauk Super Gillies v Ruby Trichy Warriors,3rd Match,2018-07-14T13:45Z,,Chepauk Super Gillies,"149/9 (20 ov, target 181)",Trichy Grand Cholas,180/4,Trichy Grand Cholas,249
1149556,Jones TUTI Patriots v VB Kanchi Veerans,4th Match,2018-07-15T09:45Z,,SKM Salem Spartans,191/3,VB Kanchi Veerans,"143/9 (20 ov, target 192)",VB Kanchi Veerans,249
1149557,Lyca Kovai Kings v Idream Karaikudi Kaalai,5th Match,2018-07-15T13:45Z,,Lyca Kovai Kings,162/6 (20 ov),IDream Tiruppur Tamizhans,162/7,IDream Tiruppur Tamizhans,246
1149558,Siechem Madurai Panthers v Chepauk Super Gillies,6th Match,2018-07-16T13:45Z,,Siechem Madurai Panthers,153/9,Chepauk Super Gillies,"127 (20 ov, target 154)",Chepauk Super Gillies,248
1149559,Lyca Kovai Kings v Dindigul Dragons,7th Match,2018-07-18T13:45Z,,Lyca Kovai Kings,185/5,Dindigul Dragons,"190/2 (17.4/20 ov, target 186)",Dindigul Dragons,236
1149560,Idream Karaikudi Kaalai v VB Kanchi Veerans,8th Match,2018-07-19T13:45Z,,IDream Tiruppur Tamizhans,"146/2 (16.3/20 ov, target 146)",VB Kanchi Veerans,145/8,VB Kanchi Veerans,228
1149561,Jones TUTI Patriots v Lyca Kovai Kings,9th Match,2018-07-20T13:45Z,,SKM Salem Spartans,182/7,Lyca Kovai Kings,"171/8 (20 ov, target 183)",Lyca Kovai Kings,245
1149562,Chepauk Super Gillies v Idream Karaikudi Kaalai,10th Match,2018-07-21T13:45Z,,Chepauk Super Gillies,"146/6 (20 ov, target 194)",IDream Tiruppur Tamizhans,193/5,IDream Tiruppur Tamizhans,260
1149563,Siechem Madurai Panthers v Jones TUTI Patriots,11th Match,2018-07-22T09:45Z,,Siechem Madurai Panthers,"166/3 (18.4/20 ov, target 166)",SKM Salem Spartans,165/5,SKM Salem Spartans,237
1149564,Dindigul Dragons v VB Kanchi Veerans,12th Match,2018-07-22T13:45Z,,Dindigul Dragons,"171/3 (19.1/20 ov, target 167)",VB Kanchi Veerans,166/4,VB Kanchi Veerans,241
1149565,Ruby Trichy Warriors v Lyca Kovai Kings,13th Match,2018-07-23T13:45Z,,Trichy Grand Cholas,124/9,Lyca Kovai Kings,"125/2 (13.4/20 ov, target 125)",Lyca Kovai Kings,207
1149566,Jones TUTI Patriots v Dindigul Dragons,14th Match,2018-07-24T13:45Z,,SKM Salem Spartans,177/8,Dindigul Dragons,"178/6 (19/20 ov, target 178)",Dindigul Dragons,242
1149567,VB Kanchi Veerans v Siechem Madurai Panthers,15th Match,2018-07-25T13:45Z,,VB Kanchi Veerans,"156/6 (20 ov, target 168)",Siechem Madurai Panthers,167/8,Siechem Madurai Panthers,246
1149568,Lyca Kovai Kings v Chepauk Super Gillies,16th Match,2018-07-26T13:45Z,,Lyca Kovai Kings,158/6,Chepauk Super Gillies,"105 (18/20 ov, target 159)",Chepauk Super Gillies,240
1149569,Ruby Trichy Warriors v Idream Karaikudi Kaalai,17th Match,2018-07-27T13:45Z,,Trichy Grand Cholas,114,IDream Tiruppur Tamizhans,"115/9 (19.5/20 ov, target 115)",IDream Tiruppur Tamizhans,242
1149570,Jones TUTI Patriots v Chepauk Super Gillies,18th Match,2018-07-28T13:45Z,,SKM Salem Spartans,"169/3 (17.2/20 ov, target 168)",Chepauk Super Gillies,167/6,Chepauk Super Gillies,231
1149571,Ruby Trichy Warriors v Siechem Madurai Panthers,19th Match,2018-07-29T09:45Z,,Trichy Grand Cholas,175/4,Siechem Madurai Panthers,"176/5 (18.2/20 ov, target 176)",Siechem Madurai Panthers,233
1149572,VB Kanchi Veerans v Lyca Kovai Kings,20th Match,2018-07-29T13:45Z,,VB Kanchi Veerans,116/8,Lyca Kovai Kings,"102/9 (20 ov, target 117)",Lyca Kovai Kings,246
1149573,Dindigul Dragons v Idream Karaikudi Kaalai,21th Match,2018-07-30T13:45Z,,Dindigul Dragons,177,IDream Tiruppur Tamizhans,"179/4 (18.3/20 ov, target 178)",IDream Tiruppur Tamizhans,242
1149574,Chepauk Super Gillies v VB Kanchi Veerans,22nd Match,2018-07-31T13:45Z,,Chepauk Super Gillies,180/5,VB Kanchi Veerans,"167/9 (20 ov, target 181)",VB Kanchi Veerans,246
1149575,Jones TUTI Patriots v Ruby Trichy Warriors,23rd Match,2018-08-01T13:45Z,,SKM Salem Spartans,157/7,Trichy Grand Cholas,"158/3 (19/20 ov, target 158)",Trichy Grand Cholas,244
1149576,Idream Karaikudi Kaalai v Siechem Madurai Panthers,24th Match,2018-08-02T13:45Z,,IDream Tiruppur Tamizhans,158,Siechem Madurai Panthers,"162/6 (18.2/20 ov, target 159)",Siechem Madurai Panthers,237
1149577,Chepauk Super Gillies v Dindigul Dragons,25th Match,2018-08-03T13:45Z,,Chepauk Super Gillies,120,Dindigul Dragons,"121/1 (13.3/20 ov, target 121)",Dindigul Dragons,202
1149578,Lyca Kovai Kings v Siechem Madurai Panthers,26th Match,2018-08-04T13:45Z,,Lyca Kovai Kings,"107/2 (17.2/20 ov, target 104)",Siechem Madurai Panthers,103/8,Siechem Madurai Panthers,229
1149579,VB Kanchi Veerans v Ruby Trichy Warriors,27th Match,2018-08-05T09:45Z,,VB Kanchi Veerans,136/8,Trichy Grand Cholas,"139/4 (17.4/20 ov, target 137)",Trichy Grand Cholas,231
1149580,Idream Karaikudi Kaalai v Jones TUTI Patriots,28th Match,2018-08-05T13:45Z,,IDream Tiruppur Tamizhans,164/6,SKM Salem Spartans,"165/6 (19.2/20 ov, target 165)",SKM Salem Spartans,248
1149581,Dindigul Dragons v Siechem Madurai Panthers,1st Qualifer,2018-08-09T09:45Z,,Dindigul Dragons,203/6,Siechem Madurai Panthers,"128 (19.3/20 ov, target 204)",Siechem Madurai Panthers,245
1149582,Lyca Kovai Kings v Idream Karaikudi Kaalai,Eliminator,2018-08-09T13:45Z,,Lyca Kovai Kings,137/8,IDream Tiruppur Tamizhans,"113 (19.4/20 ov, target 138)",IDream Tiruppur Tamizhans,247
1149583,Siechem Madurai Panthers v Lyca Kovai Kings,2nd Qualifer,2018-08-10T13:45Z,,Siechem Madurai Panthers,"131/3 (18.2/20 ov, target 126)",Lyca Kovai Kings,125/7,Lyca Kovai Kings,236
1149584,Dindigul Dragons v Siechem Madurai Panthers,Final,2018-08-12T13:45Z,,Dindigul Dragons,117,Siechem Madurai Panthers,"119/3 (17.1/20 ov, target 118)",Siechem Madurai Panthers,230
