match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1439784,2,17,6,VS Karthick Manikandan,P Saravanan,Sankarankutty Sandeep Warrier,0,0,0,out,1,caught,VS Karthick Manikandan,139/8
1439784,2,18,1,P Saravanan,Murugan Ashwin,Varun Chakravarthy Vinod,0,0,0,no run,0,,,139/8
1439784,2,18,2,P Saravanan,Murugan Ashwin,Varun Chakravarthy Vinod,0,0,0,no run,0,,,139/8
1439784,2,18,3,P Saravanan,Murugan Ashwin,Varun Chakravarthy Vinod,6,6,0,six,0,,,145/8
1439784,2,18,4,P Saravanan,Murugan Ashwin,Varun Chakravarthy Vinod,4,4,0,four,0,,,149/8
1439784,2,18,5,P Saravanan,Murugan Ashwin,Varun Chakravarthy Vinod,1,1,0,run,0,,,150/8
1439784,2,18,6,Murugan Ashwin,P Saravanan,Varun Chakravarthy Vinod,1,1,0,run,0,,,151/8
1439784,2,19,1,Murugan Ashwin,P Saravanan,Subodh Bhati,1,1,0,run,0,,,152/8
1439784,2,19,2,P Saravanan,Murugan Ashwin,Subodh Bhati,1,0,1,bye,0,,,153/8
1439784,2,19,3,Murugan Ashwin,P Saravanan,Subodh Bhati,1,1,0,run,0,,,154/8
1439784,2,19,4,P Saravanan,Murugan Ashwin,Subodh Bhati,4,4,0,four,0,,,158/8
1439784,2,19,5,P Saravanan,Murugan Ashwin,Subodh Bhati,1,0,1,leg bye,0,,,159/8
1439784,2,19,6,Murugan Ashwin,P Saravanan,Subodh Bhati,1,1,0,run,0,,,160/8
1439784,2,20,1,Murugan Ashwin,P Saravanan,VP Diran,1,0,1,wide,0,,,161/8
1439784,2,20,2,Murugan Ashwin,P Saravanan,VP Diran,1,1,0,run,0,,,162/8
1439784,2,20,3,P Saravanan,Murugan Ashwin,VP Diran,1,0,1,wide,0,,,163/8
1439784,2,20,4,P Saravanan,Murugan Ashwin,VP Diran,1,1,0,run,0,,,164/8
1439784,2,20,5,Murugan Ashwin,P Saravanan,VP Diran,1,0,1,wide,0,,,165/8
1439784,2,20,6,Murugan Ashwin,P Saravanan,VP Diran,4,4,0,four,0,,,169/8
1439784,2,20,7,Murugan Ashwin,P Saravanan,VP Diran,1,1,0,run,0,,,170/8
1439784,2,20,8,P Saravanan,Murugan Ashwin,VP Diran,1,0,1,leg bye,0,,,171/8
1439784,2,20,9,Murugan Ashwin,P Saravanan,VP Diran,0,0,0,no run,0,,,171/8
1439785,1,1,1,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,0/0
1439785,1,1,2,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,1,0,1,leg bye,0,,,1/0
1439785,1,1,3,S Abishiek,K Vishal Vaidhya,K Gowtham Thamarai Kannan,1,1,0,run,0,,,2/0
1439785,1,1,4,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,2/0
1439785,1,1,5,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,2/0
1439785,1,1,6,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,1,0,1,leg bye,0,,,3/0
1439785,1,2,1,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,0,0,0,no run,0,,,3/0
1439785,1,2,2,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,0,0,0,no run,0,,,3/0
1439785,1,2,3,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,1,1,0,run,0,,,4/0
1439785,1,2,4,S Abishiek,K Vishal Vaidhya,Manimaran Siddharth,0,0,0,no run,0,,,4/0
1439785,1,2,5,S Abishiek,K Vishal Vaidhya,Manimaran Siddharth,0,0,0,no run,0,,,4/0
1439785,1,2,6,S Abishiek,K Vishal Vaidhya,Manimaran Siddharth,0,0,0,no run,0,,,4/0
1439785,1,3,1,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,4/0
1439785,1,3,2,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,4,4,0,four,0,,,8/0
1439785,1,3,3,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,1,1,0,run,0,,,9/0
1439785,1,3,4,S Abishiek,K Vishal Vaidhya,K Gowtham Thamarai Kannan,1,1,0,run,0,,,10/0
1439785,1,3,5,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,4,4,0,four,0,,,14/0
1439785,1,3,6,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,1,1,0,run,0,,,15/0
1439785,1,4,1,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,1,1,0,run,0,,,16/0
1439785,1,4,2,S Abishiek,K Vishal Vaidhya,Manimaran Siddharth,1,1,0,run,0,,,17/0
1439785,1,4,3,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,1,1,0,run,0,,,18/0
1439785,1,4,4,S Abishiek,K Vishal Vaidhya,Manimaran Siddharth,1,1,0,run,0,,,19/0
1439785,1,4,5,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,4,4,0,four,0,,,23/0
1439785,1,4,6,K Vishal Vaidhya,S Abishiek,Manimaran Siddharth,1,1,0,run,0,,,24/0
1439785,1,5,1,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,24/0
1439785,1,5,2,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,4,4,0,four,0,,,28/0
1439785,1,5,3,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,2,2,0,run,0,,,30/0
1439785,1,5,4,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,0,0,0,no run,0,,,30/0
1439785,1,5,5,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,4,4,0,four,0,,,34/0
1439785,1,5,6,K Vishal Vaidhya,S Abishiek,K Gowtham Thamarai Kannan,1,1,0,run,0,,,35/0
1439785,1,6,1,K Vishal Vaidhya,S Abishiek,Masood Shahrukh Khan,2,0,2,wide,0,,,37/0
1439785,1,6,2,S Abishiek,K Vishal Vaidhya,Masood Shahrukh Khan,4,4,0,four,0,,,41/0
1439785,1,6,3,S Abishiek,K Vishal Vaidhya,Masood Shahrukh Khan,0,0,0,no run,0,,,41/0
1439785,1,6,4,S Abishiek,K Vishal Vaidhya,Masood Shahrukh Khan,0,0,0,no run,0,,,41/0
1439785,1,6,5,S Abishiek,K Vishal Vaidhya,Masood Shahrukh Khan,1,1,0,run,0,,,42/0
1439785,1,6,6,K Vishal Vaidhya,S Abishiek,Masood Shahrukh Khan,1,0,1,wide,0,,,43/0
1439785,1,6,7,K Vishal Vaidhya,S Abishiek,Masood Shahrukh Khan,1,1,0,run,0,,,44/0
1439785,1,6,8,S Abishiek,K Vishal Vaidhya,Masood Shahrukh Khan,1,0,1,leg bye,0,,,45/0
1439785,1,7,1,S Abishiek,K Vishal Vaidhya,Jhathavedh Subramanyan,0,0,0,no run,0,,,45/0
1439785,1,7,2,S Abishiek,K Vishal Vaidhya,Jhathavedh Subramanyan,1,1,0,run,0,,,46/0
1439785,1,7,3,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,1,0,1,wide,0,,,47/0
1439785,1,7,4,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,47/0
1439785,1,7,5,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,2,2,0,run,0,,,49/0
1439785,1,7,6,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,49/0
1439785,1,7,7,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,1,1,0,run,0,,,50/0
1439785,1,8,1,K Vishal Vaidhya,S Abishiek,U Mukilesh,1,1,0,run,0,,,51/0
1439785,1,8,2,S Abishiek,K Vishal Vaidhya,U Mukilesh,6,6,0,six,0,,,57/0
1439785,1,8,3,S Abishiek,K Vishal Vaidhya,U Mukilesh,1,1,0,run,0,,,58/0
1439785,1,8,4,K Vishal Vaidhya,S Abishiek,U Mukilesh,1,1,0,run,0,,,59/0
1439785,1,8,5,S Abishiek,K Vishal Vaidhya,U Mukilesh,1,1,0,run,0,,,60/0
1439785,1,8,6,K Vishal Vaidhya,S Abishiek,U Mukilesh,1,1,0,run,0,,,61/0
1439785,1,9,1,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,61/0
1439785,1,9,2,K Vishal Vaidhya,S Abishiek,Jhathavedh Subramanyan,0,0,0,out,1,leg before wicket,K Vishal Vaidhya,61/1
1439785,1,9,3,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,61/1
1439785,1,9,4,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,61/1
1439785,1,9,5,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,61/1
1439785,1,9,6,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,1,1,0,run,0,,,62/1
1439785,1,10,1,Rajendran Vivek,S Abishiek,M Mohammed,0,0,0,no run,0,,,62/1
1439785,1,10,2,Rajendran Vivek,S Abishiek,M Mohammed,1,1,0,run,0,,,63/1
1439785,1,10,3,S Abishiek,Rajendran Vivek,M Mohammed,0,0,0,no run,0,,,63/1
1439785,1,10,4,S Abishiek,Rajendran Vivek,M Mohammed,0,0,0,no run,0,,,63/1
1439785,1,10,5,S Abishiek,Rajendran Vivek,M Mohammed,1,1,0,run,0,,,64/1
1439785,1,10,6,Rajendran Vivek,S Abishiek,M Mohammed,1,0,1,leg bye,0,,,65/1
1439785,1,11,1,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,4,4,0,four,0,,,69/1
1439785,1,11,2,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,1,1,0,run,0,,,70/1
1439785,1,11,3,S Abishiek,Rajendran Vivek,Jhathavedh Subramanyan,0,0,0,no run,0,,,70/1
1439785,1,11,4,S Abishiek,Rajendran Vivek,Jhathavedh Subramanyan,1,1,0,run,0,,,71/1
1439785,1,11,5,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,0,0,0,no run,0,,,71/1
1439785,1,11,6,Rajendran Vivek,S Abishiek,Jhathavedh Subramanyan,0,0,0,out,1,run out,S Abishiek,71/2
1439785,1,12,1,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Valliappan Yudheeswaran,1,1,0,run,0,,,72/2
1439785,1,12,2,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Valliappan Yudheeswaran,4,4,0,four,0,,,76/2
1439785,1,12,3,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Valliappan Yudheeswaran,1,1,0,run,0,,,77/2
1439785,1,12,4,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Valliappan Yudheeswaran,1,1,0,run,0,,,78/2
1439785,1,12,5,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Valliappan Yudheeswaran,6,6,0,six,0,,,84/2
1439785,1,12,6,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Valliappan Yudheeswaran,1,1,0,run,0,,,85/2
1439785,1,13,1,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Manimaran Siddharth,1,0,1,no ball,0,,,86/2
1439785,1,13,2,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Manimaran Siddharth,1,1,0,run,0,,,87/2
1439785,1,13,3,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Manimaran Siddharth,1,1,0,run,0,,,88/2
1439785,1,13,4,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Manimaran Siddharth,1,1,0,run,0,,,89/2
1439785,1,13,5,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Manimaran Siddharth,2,2,0,run,0,,,91/2
1439785,1,13,6,Sudhan Sanjeevi Kandepan,Rajendran Vivek,Manimaran Siddharth,1,1,0,run,0,,,92/2
1439785,1,13,7,Rajendran Vivek,Sudhan Sanjeevi Kandepan,Manimaran Siddharth,1,1,0,run,0,,,93/2
1439785,1,14,1,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,6,6,0,six,0,,,99/2
1439785,1,14,2,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,6,6,0,six,0,,,105/2
1439785,1,14,3,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,4,4,0,four,0,,,109/2
1439785,1,14,4,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,4,4,0,four,0,,,113/2
1439785,1,14,5,Rajendran Vivek,Sudhan Sanjeevi Kandepan,M Mohammed,0,0,0,no run,0,,,113/2
