match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1261616,1,1,1,S Dinesh,0, Rangaraj Suthesh,0,0,0,no run,0,,,0/0
1261616,1,1,2,S Dinesh,0, Rangaraj Suthesh,0,0,0,no run,0,,,0/0
1261616,1,1,3,S Dinesh,0, Rangaraj Suthesh,0,0,0,no run,0,,,0/0
1261616,1,1,4,S Dinesh,0, Rangaraj Suthesh,1,1,0,run,0,,,1/0
1261616,1,1,5,S Siddharth,S Dinesh, Rangaraj Suthesh,0,0,0,no run,0,,,1/0
1261616,1,1,6,S Siddharth,S Dinesh, Rangaraj Suthesh,1,0,1,leg bye,0,,,2/0
1261616,1,2,1,S Siddharth,S Dinesh,Lakshminarayanan Vignesh,0,0,0,no run,0,,,2/0
1261616,1,2,2,S Siddharth,S Dinesh,Lakshminarayanan Vignesh,6,6,0,six,0,,,8/0
1261616,1,2,3,S Siddharth,S Dinesh,Lakshminarayanan Vignesh,0,0,0,no run,0,,,8/0
1261616,1,2,4,S Siddharth,S Dinesh,Lakshminarayanan Vignesh,5,0,5,wide,0,,,13/0
1261616,1,2,5,S Siddharth,S Dinesh,Lakshminarayanan Vignesh,1,1,0,run,0,,,14/0
1261616,1,2,6,S Dinesh,S Siddharth,Lakshminarayanan Vignesh,0,0,0,out,1,bowled,S Dinesh,14/1
1261616,1,2,7,N Mohammed Ashik,S Siddharth,Lakshminarayanan Vignesh,1,1,0,run,0,,,15/1
1261616,1,3,1,N Mohammed Ashik,S Siddharth, Rangaraj Suthesh,0,0,0,no run,0,,,15/1
1261616,1,3,2,N Mohammed Ashik,S Siddharth, Rangaraj Suthesh,0,0,0,out,1,leg before wicket,N Mohammed Ashik,15/2
1261616,1,3,3,Maan K Bafna,S Siddharth, Rangaraj Suthesh,0,0,0,no run,0,,,15/2
1261616,1,3,4,Maan K Bafna,S Siddharth, Rangaraj Suthesh,1,1,0,run,0,,,16/2
1261616,1,3,5,S Siddharth,Maan K Bafna, Rangaraj Suthesh,0,0,0,no run,0,,,16/2
1261616,1,3,6,S Siddharth,Maan K Bafna, Rangaraj Suthesh,1,1,0,run,0,,,17/2
1261616,1,4,1,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,0,0,0,no run,0,,,17/2
1261616,1,4,2,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,1,0,1,wide,0,,,18/2
1261616,1,4,3,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,1,0,1,wide,0,,,19/2
1261616,1,4,4,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,4,4,0,four,0,,,23/2
1261616,1,4,5,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,6,6,0,six,0,,,29/2
1261616,1,4,6,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,6,6,0,six,0,,,35/2
1261616,1,4,7,S Siddharth,Maan K Bafna,Lakshminarayanan Vignesh,1,1,0,run,0,,,36/2
1261616,1,4,8,Maan K Bafna,S Siddharth,Lakshminarayanan Vignesh,1,1,0,run,0,,,37/2
1261616,1,5,1,Maan K Bafna,S Siddharth, Rangaraj Suthesh,1,1,0,run,0,,,38/2
