match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1548206,1,1,1,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,4,4,0,four,0,,,4/0
1548206,1,1,2,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,6,6,0,six,0,,,10/0
1548206,1,1,3,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,4,4,0,four,0,,,14/0
1548206,1,1,4,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,1,0,1,wide,0,,,15/0
1548206,1,1,5,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,0,0,0,no run,0,,,15/0
1548206,1,1,6,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,6,6,0,six,0,,,21/0
1548206,1,1,7,VP Amit Sathvik,Tushar Raheja,P Bhuvaneswaran,0,0,0,out,1,caught,VP Amit Sathvik,21/1
1548206,1,2,1,Tushar Raheja,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,4,4,0,four,0,,,25/1
1548206,1,2,2,Tushar Raheja,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,1,0,1,wide,0,,,26/1
1548206,1,2,3,Tushar Raheja,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,0,0,0,no run,0,,,26/1
1548206,1,2,4,Tushar Raheja,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,0,0,0,no run,0,,,26/1
1548206,1,2,5,Tushar Raheja,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,0,0,0,out,1,caught,Tushar Raheja,26/2
1548206,1,2,6,Pradosh Ranjan Paul,Ravisrinivasan Sai Kishore,Sankarankutty Sandeep Warrier,1,1,0,run,0,,,27/2
1548206,1,2,7,Ravisrinivasan Sai Kishore,Pradosh Ranjan Paul,Sankarankutty Sandeep Warrier,4,4,0,four,0,,,31/2
1548206,1,3,1,Pradosh Ranjan Paul,Ravisrinivasan Sai Kishore,P Bhuvaneswaran,0,0,0,no run,0,,,31/2
1548206,1,3,2,Pradosh Ranjan Paul,Ravisrinivasan Sai Kishore,P Bhuvaneswaran,0,0,0,no run,0,,,31/2
1548206,1,3,3,Pradosh Ranjan Paul,Ravisrinivasan Sai Kishore,P Bhuvaneswaran,6,6,0,six,0,,,37/2
1548206,1,3,4,Pradosh Ranjan Paul,Ravisrinivasan Sai Kishore,P Bhuvaneswaran,0,0,0,out,1,caught,Pradosh Ranjan Paul,37/3
1548206,1,3,5,S Mohamed Ali,Ravisrinivasan Sai Kishore,P Bhuvaneswaran,1,1,0,run,0,,,38/3
1548206,1,3,6,Ravisrinivasan Sai Kishore,S Mohamed Ali,P Bhuvaneswaran,0,0,0,no run,0,,,38/3
