match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1548206,Dindigul Dragons v IDream Tiruppur Tamizhans,1st Match,2026-08-04T14:00Z,post,Dindigul Dragons,"111/3 (18.3/20 ov, target 108)",IDream Tiruppur Tamizhans,107,Dindigul Dragons,216
1548207,Madurai Panthers v Trichy Grand Cholas,2nd Match,2026-08-05T10:00Z,post,Madurai Panthers,"174/8 (19.4/20 ov, target 174)",Trichy Grand Cholas,173/7,Madurai Panthers,249
1548208,Chepauk Super Gillies v Nellai Royal Kings,3rd Match,2026-08-05T14:00Z,post,Chepauk Super Gillies,"154 (17.2/20 ov, target 205)",Nellai Royal Kings,204/6,Nellai Royal Kings,229
1548209,VIDA Kovai Kings v SKM Salem Spartans,4th Match,2026-08-06T14:00Z,post,VIDA Kovai Kings,194/8,SKM Salem Spartans,"160 (19.4/20 ov, target 195)",VIDA Kovai Kings,247
1548210,Chepauk Super Gillies v IDream Tiruppur Tamizhans,5th Match,2026-08-07T10:00Z,post,Chepauk Super Gillies,205/8,IDream Tiruppur Tamizhans,"206/3 (18/20 ov, target 206)",IDream Tiruppur Tamizhans,239
1548211,Dindigul Dragons v Nellai Royal Kings,6th Match,2026-08-07T14:00Z,post,Dindigul Dragons,170/7,Nellai Royal Kings,"172/4 (17.4/20 ov, target 171)",Nellai Royal Kings,240
1548212,VIDA Kovai Kings v Madurai Panthers,7th Match,2026-08-08T10:00Z,post,VIDA Kovai Kings,239/4,Madurai Panthers,"240/4 (19.3/20 ov, target 240)",Madurai Panthers,247
1548213,SKM Salem Spartans v Trichy Grand Cholas,8th Match,2026-08-08T14:00Z,post,SKM Salem Spartans,152/9,Trichy Grand Cholas,"155/3 (17/20 ov, target 153)",Trichy Grand Cholas,229
1548214,Chepauk Super Gillies v Dindigul Dragons,9th Match,2026-08-09T10:00Z,post,Chepauk Super Gillies,"131/3 (16.2/20 ov, target 127)",Dindigul Dragons,126/8,Chepauk Super Gillies,227
1548215,IDream Tiruppur Tamizhans v Nellai Royal Kings,10th Match,2026-08-09T14:00Z,post,IDream Tiruppur Tamizhans,"207/2 (18.1/20 ov, target 207)",Nellai Royal Kings,206/8,IDream Tiruppur Tamizhans,240
1548216,SKM Salem Spartans v Madurai Panthers,11th Match,2026-08-10T14:00Z,post,SKM Salem Spartans,"159/9 (20 ov, target 196)",Madurai Panthers,195/8,Madurai Panthers,247
1548217,Nellai Royal Kings v Trichy Grand Cholas,12th Match,2026-08-11T10:00Z,post,Nellai Royal Kings,"137 (18/20 ov, target 183)",Trichy Grand Cholas,182/8,Trichy Grand Cholas,244
1548218,IDream Tiruppur Tamizhans v VIDA Kovai Kings,13th Match,2026-08-11T14:00Z,post,IDream Tiruppur Tamizhans,"167/6 (18/20 ov, target 167)",VIDA Kovai Kings,166/8,IDream Tiruppur Tamizhans,240
1548219,Chepauk Super Gillies v SKM Salem Spartans,14th Match,2026-08-12T10:00Z,post,Chepauk Super Gillies,"186/5 (16.4/20 ov, target 183)",SKM Salem Spartans,182/7,Chepauk Super Gillies,223
