match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1107254,Albert TUTI Patriots v Dindigul Dragons,1st Match,2017-07-22T13:45Z,,SKM Salem Spartans,184/4,Dindigul Dragons,"177/7 (20 ov, target 185)",Dindigul Dragons,251
1107255,Lyca Kovai Kings v Karaikudi Kaalai,2nd Match,2017-07-23T13:45Z,,Lyca Kovai Kings,"160/4 (19.3/20 ov, target 159)",IDream Tiruppur Tamizhans,158/8,IDream Tiruppur Tamizhans,244
1107256,Chepauk Super Gillies v VB Thiruvallur Veerans,3rd Match,2017-07-24T13:45Z,,Chepauk Super Gillies,"129/4 (18.3/20 ov, target 127)",Nellai Royal Kings,126/7,Nellai Royal Kings,240
1107257,Madurai Super Giant v Dindigul Dragons,4th Match,2017-07-25T13:45Z,,Siechem Madurai Panthers,117,Dindigul Dragons,"120/0 (10.3/20 ov, target 118)",Dindigul Dragons,184
1107258,Ruby Trichy Warriors v Albert TUTI Patriots,5th Match,2017-07-26T13:45Z,,Trichy Grand Cholas,120,SKM Salem Spartans,"124/0 (15.3/20 ov, target 121)",SKM Salem Spartans,210
1107259,Madurai Super Giant v Karaikudi Kaalai,6th Match,2017-07-27T13:45Z,,Siechem Madurai Panthers,"142/9 (20 ov, target 186)",IDream Tiruppur Tamizhans,185/5,IDream Tiruppur Tamizhans,257
1107260,Dindigul Dragons v VB Thiruvallur Veerans,7th Match,2017-07-28T13:45Z,,Dindigul Dragons,83,Nellai Royal Kings,"84/5 (14.5/20 ov, target 84)",Nellai Royal Kings,200
1107261,Chepauk Super Gillies v Lyca Kovai Kings,8th Match,2017-07-29T13:45Z,,Chepauk Super Gillies,"149/4 (19/20 ov, target 147)",Lyca Kovai Kings,146/8,Lyca Kovai Kings,239
1107262,Karaikudi Kaalai v Albert TUTI Patriots,9th Match,2017-07-30T09:45Z,,IDream Tiruppur Tamizhans,122/9,SKM Salem Spartans,"126/4 (18.5/20 ov, target 123)",SKM Salem Spartans,243
1107263,VB Thiruvallur Veerans v Ruby Trichy Warriors,10th Match,2017-07-30T13:45Z,,Nellai Royal Kings,182/5,Trichy Grand Cholas,"125/8 (20 ov, target 183)",Trichy Grand Cholas,243
1107264,Lyca Kovai Kings v Dindigul Dragons,11th Match,2017-07-31T13:45Z,,Lyca Kovai Kings,,Dindigul Dragons,,Dindigul Dragons,0
1107265,Chepauk Super Gillies v Albert TUTI Patriots,12th Match,2017-08-01T13:45Z,,Chepauk Super Gillies,"151/8 (20 ov, target 179)",SKM Salem Spartans,178/4,SKM Salem Spartans,253
1107266,Karaikudi Kaalai v VB Thiruvallur Veerans,13th Match,2017-08-02T09:45Z,,IDream Tiruppur Tamizhans,"168/7 (19.3/20 ov, target 168)",Nellai Royal Kings,167/7,Nellai Royal Kings,247
1107267,Ruby Trichy Warriors v Madurai Super Giant,14th Match,2017-08-02T13:45Z,,Trichy Grand Cholas,187/4,Siechem Madurai Panthers,"185 (19.3/20 ov, target 188)",Siechem Madurai Panthers,243
1107268,Albert TUTI Patriots v Lyca Kovai Kings,15th Match,2017-08-03T13:45Z,,SKM Salem Spartans,"164/4 (18.3/20 ov, target 161)",Lyca Kovai Kings,160/6,Lyca Kovai Kings,237
