match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1107254,1,1,1,Washington Sundar,0,MS Sanjay,1,1,0,run,0,,,1/0
1107254,1,1,2,Kaushik Mohan Gandhi,Washington Sundar,MS Sanjay,0,0,0,no run,0,,,1/0
1107254,1,1,3,Kaushik Mohan Gandhi,Washington Sundar,MS Sanjay,4,4,0,four,0,,,5/0
1107254,1,1,4,Kaushik Mohan Gandhi,Washington Sundar,MS Sanjay,1,1,0,run,0,,,6/0
1107254,1,1,5,Washington Sundar,Kaushik Mohan Gandhi,MS Sanjay,0,0,0,no run,0,,,6/0
1107254,1,1,6,Washington Sundar,Kaushik Mohan Gandhi,MS Sanjay,1,1,0,run,0,,,7/0
1107254,1,2,1,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,1,1,0,run,0,,,8/0
1107254,1,2,2,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,0,0,0,no run,0,,,8/0
1107254,1,2,3,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,4,4,0,four,0,,,12/0
1107254,1,2,4,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,1,1,0,run,0,,,13/0
1107254,1,2,5,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,1,1,0,run,0,,,14/0
1107254,1,2,6,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,0,0,0,no run,0,,,14/0
1107254,1,3,1,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,15/0
1107254,1,3,2,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,0,0,0,no run,0,,,15/0
1107254,1,3,3,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,16/0
1107254,1,3,4,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,4,4,0,four,0,,,20/0
1107254,1,3,5,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,2,2,0,run,0,,,22/0
1107254,1,3,6,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,1,0,1,wide,0,,,23/0
1107254,1,3,7,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,24/0
1107254,1,4,1,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,0,0,0,no run,0,,,24/0
1107254,1,4,2,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,0,0,0,no run,0,,,24/0
1107254,1,4,3,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,4,4,0,four,0,,,28/0
1107254,1,4,4,Washington Sundar,Kaushik Mohan Gandhi,Thangarasu Natarajan,1,1,0,run,0,,,29/0
1107254,1,4,5,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,4,0,4,bye,0,,,33/0
1107254,1,4,6,Kaushik Mohan Gandhi,Washington Sundar,Thangarasu Natarajan,4,0,4,leg bye,0,,,37/0
1107254,1,5,1,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,6,6,0,six,0,,,43/0
1107254,1,5,2,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,1,0,1,wide,0,,,44/0
1107254,1,5,3,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,4,4,0,four,0,,,48/0
1107254,1,5,4,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,1,0,1,wide,0,,,49/0
1107254,1,5,5,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,1,1,0,run,0,,,50/0
1107254,1,5,6,Kaushik Mohan Gandhi,Washington Sundar,Murugan Ashwin,1,1,0,run,0,,,51/0
1107254,1,5,7,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,0,0,0,no run,0,,,51/0
1107254,1,5,8,Washington Sundar,Kaushik Mohan Gandhi,Murugan Ashwin,4,4,0,four,0,,,55/0
1107254,1,6,1,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,2,2,0,run,0,,,57/0
1107254,1,6,2,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,58/0
1107254,1,6,3,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,0,0,0,no run,0,,,58/0
1107254,1,6,4,Washington Sundar,Kaushik Mohan Gandhi,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,59/0
1107254,1,6,5,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,4,4,0,four,0,,,63/0
1107254,1,6,6,Kaushik Mohan Gandhi,Washington Sundar,Yamuna Sunny Kumar Singh,4,4,0,four,0,,,67/0
1107254,1,7,1,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,1,1,0,run,0,,,68/0
1107254,1,7,2,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,1,0,1,wide,0,,,69/0
1107254,1,7,3,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,1,1,0,run,0,,,70/0
1107254,1,7,4,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,1,1,0,run,0,,,71/0
1107254,1,7,5,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,4,4,0,four,0,,,75/0
1107254,1,7,6,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,1,1,0,run,0,,,76/0
1107254,1,7,7,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,1,1,0,run,0,,,77/0
1107254,1,8,1,Washington Sundar,Kaushik Mohan Gandhi,V Subramania Siva,1,1,0,run,0,,,78/0
1107254,1,8,2,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,0,0,0,no run,0,,,78/0
1107254,1,8,3,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,0,0,0,no run,0,,,78/0
1107254,1,8,4,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,2,2,0,run,0,,,80/0
1107254,1,8,5,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,4,0,4,leg bye,0,,,84/0
1107254,1,8,6,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,1,1,0,run,0,,,85/0
1107254,1,9,1,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,1,1,0,run,0,,,86/0
1107254,1,9,2,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,0,0,0,no run,0,,,86/0
1107254,1,9,3,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,1,1,0,run,0,,,87/0
1107254,1,9,4,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,1,1,0,run,0,,,88/0
1107254,1,9,5,Washington Sundar,Kaushik Mohan Gandhi,Rajendran Vivek,1,1,0,run,0,,,89/0
1107254,1,9,6,Kaushik Mohan Gandhi,Washington Sundar,Rajendran Vivek,4,4,0,four,0,,,93/0
1107254,1,10,1,Washington Sundar,Kaushik Mohan Gandhi,V Subramania Siva,4,4,0,four,0,,,97/0
1107254,1,10,2,Washington Sundar,Kaushik Mohan Gandhi,V Subramania Siva,1,1,0,run,0,,,98/0
1107254,1,10,3,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,0,0,0,no run,0,,,98/0
1107254,1,10,4,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,4,4,0,four,0,,,102/0
1107254,1,10,5,Kaushik Mohan Gandhi,Washington Sundar,V Subramania Siva,1,1,0,run,0,,,103/0
1107254,1,10,6,Washington Sundar,Kaushik Mohan Gandhi,V Subramania Siva,0,0,0,no run,0,,,103/0
1107254,1,11,1,Kaushik Mohan Gandhi,Washington Sundar,Wilkins Joseph Victor,1,1,0,run,0,,,104/0
1107254,1,11,2,Washington Sundar,Kaushik Mohan Gandhi,Wilkins Joseph Victor,1,1,0,run,0,,,105/0
1107254,1,11,3,Kaushik Mohan Gandhi,Washington Sundar,Wilkins Joseph Victor,2,2,0,run,0,,,107/0
1107254,1,11,4,Kaushik Mohan Gandhi,Washington Sundar,Wilkins Joseph Victor,0,0,0,out,1,caught,Kaushik Mohan Gandhi,107/1
1107254,1,11,5,SP Nathan,Washington Sundar,Wilkins Joseph Victor,0,0,0,no run,0,,,107/1
1107254,1,11,6,SP Nathan,Washington Sundar,Wilkins Joseph Victor,0,0,0,no run,0,,,107/1
1107254,1,12,1,Washington Sundar,SP Nathan,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,108/1
1107254,1,12,2,SP Nathan,Washington Sundar,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,109/1
1107254,1,12,3,Washington Sundar,SP Nathan,Yamuna Sunny Kumar Singh,0,0,0,no run,0,,,109/1
1107254,1,12,4,Washington Sundar,SP Nathan,Yamuna Sunny Kumar Singh,0,0,0,no run,0,,,109/1
1107254,1,12,5,Washington Sundar,SP Nathan,Yamuna Sunny Kumar Singh,1,1,0,run,0,,,110/1
1107254,1,12,6,SP Nathan,Washington Sundar,Yamuna Sunny Kumar Singh,0,0,0,no run,0,,,110/1
1107254,1,13,1,Washington Sundar,SP Nathan,Thangarasu Natarajan,4,4,0,four,0,,,114/1
1107254,1,13,2,Washington Sundar,SP Nathan,Thangarasu Natarajan,1,1,0,run,0,,,115/1
1107254,1,13,3,SP Nathan,Washington Sundar,Thangarasu Natarajan,1,1,0,run,0,,,116/1
1107254,1,13,4,Washington Sundar,SP Nathan,Thangarasu Natarajan,6,6,0,six,0,,,122/1
1107254,1,13,5,Washington Sundar,SP Nathan,Thangarasu Natarajan,4,4,0,four,0,,,126/1
1107254,1,13,6,Washington Sundar,SP Nathan,Thangarasu Natarajan,0,0,0,no run,0,,,126/1
1107254,1,14,1,SP Nathan,Washington Sundar,Murugan Ashwin,1,0,1,wide,0,,,127/1
1107254,1,14,2,SP Nathan,Washington Sundar,Murugan Ashwin,0,0,0,no run,0,,,127/1
1107254,1,14,3,SP Nathan,Washington Sundar,Murugan Ashwin,1,1,0,run,0,,,128/1
1107254,1,14,4,Washington Sundar,SP Nathan,Murugan Ashwin,0,0,0,no run,0,,,128/1
1107254,1,14,5,Washington Sundar,SP Nathan,Murugan Ashwin,4,4,0,four,0,,,132/1
1107254,1,14,6,Washington Sundar,SP Nathan,Murugan Ashwin,1,0,1,wide,0,,,133/1
1107254,1,14,7,Washington Sundar,SP Nathan,Murugan Ashwin,0,0,0,no run,0,,,133/1
1107254,1,14,8,Washington Sundar,SP Nathan,Murugan Ashwin,1,1,0,run,0,,,134/1
1107254,1,15,1,Washington Sundar,SP Nathan,Rajendran Vivek,0,0,0,no run,0,,,134/1
1107254,1,15,2,Washington Sundar,SP Nathan,Rajendran Vivek,1,1,0,run,0,,,135/1
1107254,1,15,3,SP Nathan,Washington Sundar,Rajendran Vivek,1,0,1,leg bye,0,,,136/1
1107254,1,15,4,Washington Sundar,SP Nathan,Rajendran Vivek,1,1,0,run,0,,,137/1
1107254,1,15,5,SP Nathan,Washington Sundar,Rajendran Vivek,1,1,0,run,0,,,138/1
