match_id,name,description,date,status,home_team,home_score,away_team,away_score,winner,deliveries
1261616,Dindigul Dragons v IDream Tiruppur Tamizhans,25th Match,2021-08-07T10:00Z,,Dindigul Dragons,"147/4 (17/20 ov, target 146)",IDream Tiruppur Tamizhans,145/7,IDream Tiruppur Tamizhans,230
1261617,Lyca Kovai Kings v Salem Spartans,1st Match,2021-07-19T14:00Z,,Lyca Kovai Kings,168/5 (18/20 ov),SKM Salem Spartans,,SKM Salem Spartans,117
1261618,Chepauk Super Gillies v Nellai Royal Kings,6th Match,2021-07-24T10:00Z,,Chepauk Super Gillies,165/7,Nellai Royal Kings,"167/3 (19.4/20 ov, target 166)",Nellai Royal Kings,259
1261619,IDream Tiruppur Tamizhans v Siechem Madurai Panthers,20th Match,2021-08-02T14:00Z,,IDream Tiruppur Tamizhans,"103 (17.4/20 ov, target 185)",Siechem Madurai Panthers,184/4,Siechem Madurai Panthers,237
1261620,Dindigul Dragons v Ruby Trichy Warriors,11th Match,2021-07-27T14:00Z,,Dindigul Dragons,"149/5 (19.2/20 ov, target 146)",Trichy Grand Cholas,145/5,Trichy Grand Cholas,256
1261621,Dindigul Dragons v Siechem Madurai Panthers,4th Match,2021-07-22T14:00Z,,Dindigul Dragons,96,Siechem Madurai Panthers,"97/4 (15/20 ov, target 97)",Siechem Madurai Panthers,214
1261622,Nellai Royal Kings v Ruby Trichy Warriors,3rd Match,2021-07-21T14:00Z,,Nellai Royal Kings,"77 (13.4/20 ov, target 152)",Trichy Grand Cholas,151/5,Trichy Grand Cholas,215
1261623,Chepauk Super Gillies v Dindigul Dragons,19th Match,2021-08-01T14:00Z,,Chepauk Super Gillies,159/7,Dindigul Dragons,"135/8 (20 ov, target 160)",Dindigul Dragons,249
1261624,Siechem Madurai Panthers v Lyca Kovai Kings,13th Match,2021-07-28T14:00Z,,Siechem Madurai Panthers,"153/8 (20 ov, target 173)",Lyca Kovai Kings,172/5,Lyca Kovai Kings,252
1261625,Chepauk Super Gillies v IDream Tiruppur Tamizhans,2nd Match,2021-07-20T14:00Z,,Chepauk Super Gillies,,IDream Tiruppur Tamizhans,64/7 (16.2/20 ov),IDream Tiruppur Tamizhans,104
1261626,Salem Spartans v Ruby Trichy Warriors,18th Match,2021-08-01T10:00Z,,SKM Salem Spartans,116/8,Trichy Grand Cholas,"120/4 (18.3/20 ov, target 117)",Trichy Grand Cholas,243
1261627,Siechem Madurai Panthers v Nellai Royal Kings,17th Match,2021-07-31T14:00Z,,Siechem Madurai Panthers,144/8 (19.2/20 ov),Nellai Royal Kings,,Nellai Royal Kings,120
1261628,Dindigul Dragons v Lyca Kovai Kings,9th Match,2021-07-25T14:00Z,,Dindigul Dragons,"202/5 (18/20 ov, target 202)",Lyca Kovai Kings,201/1,Lyca Kovai Kings,240
1261629,Salem Spartans v Chepauk Super Gillies,12th Match,2021-07-28T10:00Z,,SKM Salem Spartans,142/7,Chepauk Super Gillies,"145/6 (18.5/20 ov, target 143)",Chepauk Super Gillies,242
1261630,Nellai Royal Kings v Dindigul Dragons,21st Match,2021-08-03T14:00Z,,Nellai Royal Kings,"148/5 (18.5/20 ov, target 148)",Dindigul Dragons,147/5,Dindigul Dragons,249
1261631,Siechem Madurai Panthers v Ruby Trichy Warriors,8th Match,2021-07-25T10:00Z,,Siechem Madurai Panthers,137/6,Trichy Grand Cholas,"138/7 (19/20 ov, target 138)",Trichy Grand Cholas,245
1261632,Chepauk Super Gillies v Lyca Kovai Kings,24th Match,2021-08-06T14:00Z,,Chepauk Super Gillies,159/7,Lyca Kovai Kings,"123/9 (20 ov, target 160)",Lyca Kovai Kings,247
