season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2025,S Dube,Chennai Super Kings,5.48,14,14,357,25.5,18.5,132.2,145.5,0.76,-1.17,-1.06,0.14,-0.33,21
2025,RA Jadeja,Chennai Super Kings,5.03,14,14,301,21.5,18.0,135.6,158.6,0.08,-0.99,-0.71,0.07,-0.39,22
2025,LS Livingstone,Royal Challengers Bengaluru,4.92,8,8,112,14.0,7.0,133.3,260.9,-1.19,-1.11,1.95,-1.36,-0.43,23
2025,Abdul Samad,Lucknow Super Giants,6.39,12,12,164,13.7,5.0,176.3,186.0,-1.25,1.15,-0.0,-1.62,-0.43,24
2025,Nithish Kumar Reddy,Sunrisers Hyderabad,4.52,11,11,182,16.5,19.0,119.0,174.1,-0.76,-1.87,-0.31,0.2,-0.68,25
2025,SO Hetmyer,Rajasthan Royals,6.23,13,13,239,18.4,12.0,145.7,142.0,-0.45,-0.46,-1.15,-0.71,-0.69,26
2025,R Tewatia,Gujarat Titans,5.81,11,11,99,9.0,9.0,167.8,170.0,-2.04,0.7,-0.42,-1.1,-0.71,27
2025,DA Miller,Lucknow Super Giants,5.59,10,10,153,15.3,13.5,127.5,120.3,-0.97,-1.42,-1.71,-0.51,-1.15,28
2025,KH Pandya,Royal Challengers Bengaluru,5.98,7,7,109,15.6,5.0,126.7,123.3,-0.93,-1.46,-1.63,-1.62,-1.41,29
2026,H Klaasen,Sunrisers Hyderabad,4.22,15,15,624,41.6,40.0,160.0,177.9,3.2,0.4,-0.09,2.95,1.61,1
2026,SN Khan,Chennai Super Kings,4.7,7,7,161,23.0,23.0,169.5,270.0,0.37,0.85,2.48,0.83,1.13,2
2026,MP Stoinis,Punjab Kings,5.8,9,9,216,24.0,28.0,180.0,219.6,0.52,1.36,1.08,1.45,1.1,3
2026,Nithish Kumar Reddy,Sunrisers Hyderabad,5.51,13,13,302,23.2,28.0,171.6,215.9,0.4,0.96,0.97,1.45,0.95,4
2026,D Ferreira,Rajasthan Royals,6.12,13,13,317,24.4,18.0,179.1,221.7,0.58,1.32,1.14,0.21,0.81,5
2026,WG Jacks,Mumbai Indians,4.33,7,7,139,19.9,14.0,182.9,231.6,-0.11,1.5,1.41,-0.29,0.63,6
2026,Ashutosh Sharma,Delhi Capitals,6.58,8,8,171,21.4,18.5,181.9,204.2,0.12,1.46,0.65,0.27,0.62,7
2026,TH David,Royal Challengers Bengaluru,5.53,15,15,305,20.3,15.0,188.3,214.1,-0.04,1.76,0.92,-0.17,0.62,8
2026,Tilak Varma,Mumbai Indians,4.68,14,14,359,25.6,12.5,145.9,256.7,0.77,-0.29,2.11,-0.48,0.53,9
2026,Suryansh Shedge,Punjab Kings,5.7,7,7,158,22.6,21.0,175.6,181.8,0.3,1.15,0.02,0.58,0.51,10
2026,RK Singh,Kolkata Knight Riders,5.43,11,11,295,26.8,22.0,149.0,192.6,0.95,-0.14,0.32,0.71,0.46,11
2026,R Powell,Kolkata Knight Riders,5.5,7,7,190,27.1,29.0,134.8,175.6,1.0,-0.83,-0.15,1.58,0.4,12
2026,DA Miller,Delhi Capitals,5.72,10,10,211,21.1,20.0,154.0,209.8,0.08,0.11,0.8,0.46,0.36,13
2026,Shashank Singh,Punjab Kings,6.51,9,9,132,14.7,14.0,188.6,204.7,-0.9,1.78,0.66,-0.29,0.31,14
2026,KH Pandya,Royal Challengers Bengaluru,5.61,9,9,226,25.1,23.0,145.8,167.9,0.69,-0.29,-0.37,0.83,0.21,15
2026,S Dube,Chennai Super Kings,5.68,12,12,270,22.5,20.5,158.8,161.7,0.29,0.34,-0.54,0.52,0.15,16
2026,Washington Sundar,Gujarat Titans,4.49,16,16,377,23.6,18.5,150.2,173.0,0.45,-0.08,-0.22,0.27,0.1,17
2026,Kartik Sharma,Chennai Super Kings,4.55,11,11,295,26.8,19.0,136.6,175.0,0.95,-0.74,-0.17,0.33,0.09,18
2026,Sameer Rizvi,Delhi Capitals,4.35,9,9,252,28.0,6.0,147.4,185.3,1.13,-0.22,0.12,-1.29,-0.06,19
2026,R Parag,Rajasthan Royals,4.09,14,14,309,22.1,14.0,157.7,140.0,0.23,0.28,-1.15,-0.29,-0.23,20
