season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2009,PA Patel,126,142,1.1825396825396826,9,1,Opener (1-2)
2009,PP Chawla,36,31,8.027777777777779,8,0,Finisher (6+)
2009,R Dravid,234,271,4.457264957264957,12,1,Middle Order (4-5)
2009,R Vinay Kumar,44,47,9.25,7,1,Finisher (6+)
2009,RA Jadeja,266,295,5.097744360902255,13,0,Finisher (6+)
2009,RE van der Merwe,98,122,5.3061224489795915,8,1,Finisher (6+)
2009,RG Sharma,315,362,4.238095238095238,16,1,Middle Order (4-5)
2009,RJ Quiney,102,103,1.2156862745098038,7,0,Opener (1-2)
2009,RV Uthappa,170,175,3.223529411764706,13,1,Middle Order (4-5)
2009,S Badrinath,164,177,4.4573170731707314,11,1,Middle Order (4-5)
2009,S Sohal,93,115,1.0,8,0,Opener (1-2)
2009,SA Asnodkar,93,98,2.4623655913978495,8,0,Top Order (3)
2009,SC Ganguly,207,189,3.024154589371981,11,0,Middle Order (4-5)
2009,SK Raina,308,434,3.1233766233766236,14,1,Middle Order (4-5)
2009,SK Warne,116,108,7.853448275862069,10,0,Finisher (6+)
2009,SM Katich,117,145,2.5042735042735043,9,0,Top Order (3)
2009,SR Tendulkar,303,364,2.6732673267326734,13,0,Top Order (3)
2009,ST Jayasuriya,192,221,1.328125,12,0,Opener (1-2)
2009,TL Suman,190,237,3.5894736842105264,12,1,Middle Order (4-5)
2009,TM Dilshan,341,418,3.598240469208211,13,1,Middle Order (4-5)
2009,V Kohli,219,246,5.114155251141552,13,1,Finisher (6+)
2009,V Sehwag,138,198,2.63768115942029,11,1,Top Order (3)
2009,WP Saha,41,72,5.682926829268292,7,0,Finisher (6+)
2009,Y Venugopal Rao,114,124,6.2631578947368425,12,1,Finisher (6+)
2009,YK Pathan,183,243,5.147540983606557,13,0,Finisher (6+)
2009,Yuvraj Singh,294,340,4.078231292517007,14,0,Middle Order (4-5)
2010,A Mishra,51,39,8.529411764705882,7,0,Finisher (6+)
2010,A Symonds,341,429,4.44574780058651,16,1,Middle Order (4-5)
2010,AA Jhunjhunwala,166,183,4.753012048192771,10,0,Middle Order (4-5)
2010,AB de Villiers,119,111,3.4789915966386555,7,0,Middle Order (4-5)
2010,AC Gilchrist,185,289,1.318918918918919,16,1,Opener (1-2)
2010,AC Voges,143,181,5.72027972027972,7,0,Finisher (6+)
2010,AD Mathews,184,233,5.684782608695652,10,0,Finisher (6+)
2010,AT Rayudu,246,356,4.475609756097561,14,1,Middle Order (4-5)
2010,CH Gayle,184,292,1.5054347826086956,9,0,Opener (1-2)
2010,DA Warner,191,282,1.0104712041884816,11,0,Opener (1-2)
2010,DJ Bravo,53,61,4.811320754716981,8,0,Middle Order (4-5)
2010,DPMD Jayawardene,298,439,2.3624161073825505,13,0,Top Order (3)
2010,FY Fazal,154,164,3.5584415584415585,9,0,Middle Order (4-5)
2010,G Gambhir,217,277,2.728110599078341,10,0,Top Order (3)
2010,HH Gibbs,235,267,2.293617021276596,10,1,Top Order (3)
2010,Harbhajan Singh,63,105,8.523809523809524,7,1,Finisher (6+)
2010,IK Pathan,186,276,4.790322580645161,13,0,Middle Order (4-5)
2010,JA Morkel,131,198,5.809160305343512,11,1,Finisher (6+)
2010,JH Kallis,494,572,1.7267206477732793,16,1,Opener (1-2)
2010,JP Duminy,131,157,4.900763358778626,7,1,Middle Order (4-5)
2010,KA Pollard,147,273,6.095238095238095,14,1,Finisher (6+)
2010,KC Sangakkara,257,357,3.054474708171206,12,0,Middle Order (4-5)
2010,KD Karthik,237,278,4.860759493670886,14,0,Middle Order (4-5)
2010,KP Pietersen,157,236,3.178343949044586,7,1,Middle Order (4-5)
2010,LRPL Taylor,75,88,5.293333333333333,7,1,Finisher (6+)
2010,M Manhas,149,157,5.9865771812080535,8,0,Finisher (6+)
2010,M Vijay,292,458,1.25,15,1,Opener (1-2)
2010,MD Mishra,144,166,2.9166666666666665,11,1,Top Order (3)
2010,MJ Lumb,192,278,1.09375,11,0,Opener (1-2)
2010,MK Pandey,226,249,1.3008849557522124,13,1,Opener (1-2)
2010,MK Tiwary,186,237,3.2580645161290325,11,0,Middle Order (4-5)
2010,ML Hayden,279,346,2.0,16,1,Opener (1-2)
2010,MS Bisla,178,218,2.393258426966292,10,0,Top Order (3)
2010,MS Dhoni,210,287,4.79047619047619,11,1,Middle Order (4-5)
2010,NV Ojha,285,377,2.0280701754385966,14,0,Top Order (3)
2010,P Dogra,106,107,6.386792452830188,8,0,Finisher (6+)
2010,PD Collingwood,156,203,4.891025641025641,7,0,Middle Order (4-5)
2010,R Dravid,199,256,3.301507537688442,11,1,Middle Order (4-5)
2010,R McLaren,69,66,3.7681159420289854,7,0,Middle Order (4-5)
2010,R Sathish,96,112,5.979166666666667,10,0,Finisher (6+)
2010,RG Sharma,302,404,4.304635761589404,16,1,Middle Order (4-5)
2010,RS Bopara,214,248,1.719626168224299,9,0,Opener (1-2)
2010,RV Uthappa,218,374,4.027522935779817,14,1,Middle Order (4-5)
2010,S Badrinath,303,356,4.580858085808581,15,1,Middle Order (4-5)
2010,S Dhawan,170,191,1.0647058823529412,10,1,Opener (1-2)
2010,SC Ganguly,419,493,1.6229116945107398,14,0,Opener (1-2)
2010,SK Raina,364,520,3.1648351648351647,16,1,Middle Order (4-5)
2010,SR Tendulkar,466,618,2.0,15,1,Opener (1-2)
2010,SS Tiwary,309,419,3.744336569579288,15,1,Middle Order (4-5)
2010,TL Suman,257,307,4.5136186770428015,14,1,Middle Order (4-5)
2010,V Kohli,212,307,5.231132075471698,13,1,Finisher (6+)
2010,V Sehwag,218,356,1.981651376146789,14,0,Opener (1-2)
2010,YK Pathan,201,333,4.467661691542289,14,0,Middle Order (4-5)
2010,Yuvraj Singh,199,255,4.065326633165829,14,0,Middle Order (4-5)
2011,A Mishra,49,68,8.16326530612245,9,0,Finisher (6+)
2011,A Symonds,138,135,5.311594202898551,9,0,Finisher (6+)
2011,AB de Villiers,243,312,4.172839506172839,13,1,Middle Order (4-5)
2011,AC Gilchrist,295,383,1.494915254237288,14,0,Opener (1-2)
2011,AL Menaria,152,180,4.5855263157894735,10,0,Middle Order (4-5)
2011,AM Nayar,67,61,5.014925373134329,9,0,Finisher (6+)
2011,AM Rahane,98,120,4.326530612244898,7,0,Middle Order (4-5)
2011,AT Rayudu,350,395,3.2314285714285713,16,1,Middle Order (4-5)
2011,B Chipli,170,207,4.194117647058824,13,0,Middle Order (4-5)
2011,BB McCullum,275,357,1.2618181818181817,13,0,Opener (1-2)
2011,BJ Hodge,236,285,4.533898305084746,14,0,Middle Order (4-5)
2011,CH Gayle,332,608,1.4939759036144578,12,1,Opener (1-2)
2011,DA Warner,276,324,1.2391304347826086,13,0,Opener (1-2)
2011,DB Ravi Teja,144,183,4.215277777777778,9,0,Middle Order (4-5)
2011,DJ Hussey,63,64,5.222222222222222,8,0,Finisher (6+)
2011,DPMD Jayawardene,257,299,2.7120622568093387,13,0,Top Order (3)
2011,DT Christian,159,190,5.635220125786163,13,0,Finisher (6+)
2011,EJG Morgan,117,137,2.47008547008547,9,0,Top Order (3)
2011,G Gambhir,317,378,2.678233438485804,15,1,Top Order (3)
2011,Harbhajan Singh,71,103,5.450704225352113,8,1,Finisher (6+)
2011,IK Pathan,138,150,5.260869565217392,12,0,Finisher (6+)
2011,J Botha,198,230,3.5707070707070705,9,0,Middle Order (4-5)
2011,JA Morkel,102,138,5.676470588235294,12,1,Finisher (6+)
2011,JD Ryder,197,292,1.0862944162436547,13,0,Opener (1-2)
2011,JH Kallis,378,424,1.4682539682539681,14,1,Opener (1-2)
2011,JP Duminy,174,205,4.2988505747126435,10,0,Middle Order (4-5)
2011,JR Hopes,158,196,4.8164556962025316,8,0,Middle Order (4-5)
2011,KA Pollard,133,146,5.684210526315789,12,1,Finisher (6+)
2011,KC Sangakkara,293,358,3.2525597269624575,13,0,Middle Order (4-5)
2011,KD Karthik,220,282,4.177272727272728,13,0,Middle Order (4-5)
2011,LRPL Taylor,152,181,4.855263157894737,11,0,Middle Order (4-5)
2011,M Manhas,123,114,4.235772357723577,10,0,Middle Order (4-5)
2011,M Vijay,339,434,1.873156342182891,16,1,Opener (1-2)
2011,MA Agarwal,120,141,1.0,7,1,Opener (1-2)
2011,MEK Hussey,414,492,1.214975845410628,14,1,Opener (1-2)
2011,MK Pandey,227,246,2.198237885462555,9,0,Top Order (3)
2011,MK Tiwary,325,359,4.012307692307692,13,1,Middle Order (4-5)
2011,MS Dhoni,247,392,4.680161943319838,13,1,Middle Order (4-5)
2011,NV Ojha,161,160,3.142857142857143,14,0,Middle Order (4-5)
2011,P Kumar,31,27,9.483870967741936,7,0,Finisher (6+)
2011,PA Patel,183,202,3.0273224043715845,13,0,Middle Order (4-5)
2011,PC Valthaty,338,463,1.4615384615384615,14,0,Opener (1-2)
2011,R Dravid,314,343,2.0,12,0,Opener (1-2)
2011,R Vinay Kumar,47,50,8.48936170212766,7,0,Finisher (6+)
2011,RA Jadeja,228,283,5.390350877192983,12,0,Finisher (6+)
2011,RG Sharma,297,372,4.134680134680135,13,1,Middle Order (4-5)
2011,RJ Harris,39,31,8.666666666666666,7,0,Finisher (6+)
2011,RV Gomez,50,46,6.9,8,0,Finisher (6+)
2011,RV Uthappa,209,264,4.555023923444976,13,0,Middle Order (4-5)
2011,S Badrinath,313,396,3.9361022364217253,12,1,Middle Order (4-5)
2011,S Dhawan,310,400,1.9225806451612903,14,0,Opener (1-2)
2011,S Sohal,191,249,1.1465968586387434,10,0,Opener (1-2)
2011,SE Marsh,344,504,3.01453488372093,13,0,Middle Order (4-5)
2011,SK Raina,325,438,3.0923076923076924,16,1,Middle Order (4-5)
2011,SR Tendulkar,488,553,1.9139344262295082,16,1,Opener (1-2)
2011,SR Watson,253,330,1.383399209486166,11,0,Opener (1-2)
2011,SS Tiwary,188,187,5.191489361702128,13,1,Finisher (6+)
2011,TM Dilshan,180,226,1.8277777777777777,10,0,Opener (1-2)
2011,V Kohli,460,557,3.1717391304347826,16,1,Middle Order (4-5)
2011,V Sehwag,240,424,1.9833333333333334,11,0,Opener (1-2)
2011,Y Nagar,100,111,5.73,10,0,Finisher (6+)
2011,Y Venugopal Rao,280,336,5.146428571428571,14,0,Finisher (6+)
2011,YK Pathan,201,283,4.537313432835821,11,1,Middle Order (4-5)
2011,Yuvraj Singh,261,343,4.743295019157088,13,0,Middle Order (4-5)
2012,AB de Villiers,198,319,4.681818181818182,13,0,Middle Order (4-5)
2012,AC Gilchrist,143,172,1.118881118881119,7,0,Opener (1-2)
2012,AD Mathews,108,127,6.277777777777778,8,0,Finisher (6+)
2012,AL Menaria,202,220,4.410891089108911,12,0,Middle Order (4-5)
2012,AM Rahane,433,560,2.0,16,0,Opener (1-2)
2012,AT Rayudu,252,333,4.841269841269841,15,1,Middle Order (4-5)
2012,Azhar Mahmood,142,186,5.253521126760563,10,0,Finisher (6+)
2012,B Kumar,40,40,8.425,8,0,Finisher (6+)
2012,BB McCullum,283,289,1.314487632508834,12,1,Opener (1-2)
2012,BJ Hodge,175,245,4.662857142857143,12,0,Middle Order (4-5)
2012,CH Gayle,456,733,1.7916666666666667,14,0,Opener (1-2)
2012,CL White,320,479,3.6125,13,0,Middle Order (4-5)
2012,DA Warner,156,256,1.7307692307692308,8,1,Opener (1-2)
2012,DB Das,93,126,6.021505376344086,10,0,Finisher (6+)
2012,DJ Bravo,264,371,5.337121212121212,16,1,Finisher (6+)
2012,DJ Hussey,305,396,4.262295081967213,15,0,Middle Order (4-5)
2012,DPMD Jayawardene,298,335,2.8456375838926173,15,1,Top Order (3)
2012,DT Christian,118,145,4.262711864406779,7,0,Middle Order (4-5)
2012,F du Plessis,304,398,1.5986842105263157,12,0,Opener (1-2)
2012,G Gambhir,411,590,1.6642335766423357,17,1,Opener (1-2)
2012,Harbhajan Singh,80,108,7.625,11,1,Finisher (6+)
2012,IK Pathan,126,176,5.531746031746032,12,1,Finisher (6+)
2012,J Botha,54,58,6.203703703703703,7,0,Finisher (6+)
2012,JA Morkel,68,107,6.5,12,1,Finisher (6+)
2012,JD Ryder,212,256,1.900943396226415,11,0,Opener (1-2)
2012,JEC Franklin,223,220,2.883408071748879,11,1,Top Order (3)
2012,JH Kallis,384,409,2.7369791666666665,17,1,Top Order (3)
2012,JP Duminy,190,244,4.536842105263158,9,0,Middle Order (4-5)
