position_group,batter_seasons,avg_balls,median_balls,min_balls,max_balls,avg_runs
Opener (1-2),355,204.4,193.0,1,655,263.7
Top Order (3),274,191.3,172.0,1,582,247.0
Middle Order (4-5),561,158.7,150.0,1,473,203.9
Finisher (6+),1593,40.2,16.0,1,349,49.8
