test,analysis,question,statistic,p_value,significant,note
Chi-square,A,Winner position distribution differs from population,47.6745,0.0,YES,"df=3, n_winners=19, n_pop=1229"
Kruskal-Wallis,B,Balls faced per season differs across position groups,1126.8286,0.0,YES,"k=4 groups, n=2959"
Mann-Whitney U,B (post-hoc),Openers face more balls per season than middle-order,156201.0,1e-06,YES,"one-sided, median diff=38.5 balls, n_opener=437, n_middle=608"
Kruskal-Wallis,C,Powerplay run % differs across position groups,2200.4667,0.0,YES,"k=4 groups, median opener PP%=62.5, median middle PP%=14.6"
Wilcoxon signed-rank,D,Actual rank differs from normalised rank (top-10 per season),1943.5,0.0,YES,"n=193, 74.1% of rankings shift after normalisation"
Mann-Whitney U,E,Playoff teams play more matches than non-playoff teams,6291.5,0.0,YES,"one-sided, n_playoff=76, n_non_playoff=90"
Mann-Whitney U,F,Playoff top-5 batters score more runs than non-playoff top-5,688.5,0.888079,NO,"one-sided, n_playoff=72, n_non_playoff=23, medians: 556 vs 625"
