season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2017,K Deeban Lingesh,Lyca Kovai Kings,4.818,2,2,13,6.5,6.5,130.0,133.3333
2017,M Mohammed,Lyca Kovai Kings,5.582,4,4,70,17.5,18.0,132.0755,196.1538
2017,M Shajahan,IDream Tiruppur Tamizhans,4.747,8,8,209,26.125,26.5,145.1389,146.6667
2017,Malolan Rangarajan,Nellai Royal Kings,4.971,7,7,86,12.2857,13.0,124.6377,161.7647
2017,Masood Shahrukh Khan,Siechem Madurai Panthers,3.917,6,6,60,10.0,3.5,100.0,0.0
2017,Mitchell Anthony Mannays,Trichy Grand Cholas,6.0,1,1,0,0.0,0.0,0.0,0.0
2017,Murugan Ashwin,Dindigul Dragons,4.0,2,2,14,7.0,7.0,107.6923,
2017,N Ganesh,Siechem Madurai Panthers,6.4,3,3,9,3.0,1.0,112.5,200.0
2017,P Francis Rokins,Siechem Madurai Panthers,5.286,2,2,16,8.0,8.0,76.1905,88.8889
2017,R Kavin,Nellai Royal Kings,5.882,3,3,26,8.6667,9.0,162.5,600.0
2017,R Rajan,Nellai Royal Kings,7.0,2,2,23,11.5,11.5,76.6667,
2017,R Rajkumar,IDream Tiruppur Tamizhans,6.25,6,6,20,3.3333,0.5,71.4286,86.3636
2017,Rajagopal Sathish,Chepauk Super Gillies,5.833,8,8,70,8.75,4.5,98.5915,123.3333
2017,Rajendran Vivek,Dindigul Dragons,6.716,5,5,124,24.8,32.0,177.1429,188.0952
2017,Rajhamany Srinivasan,IDream Tiruppur Tamizhans,3.921,6,6,47,7.8333,5.5,78.3333,50.0
2017,Ravi Karthikeyan,Siechem Madurai Panthers,4.296,4,4,20,5.0,4.0,80.0,100.0
2017,Ravisrinivasan Sai Kishore,Chepauk Super Gillies,7.0,3,3,1,0.3333,0.0,20.0,33.3333
2017,S Aravind,SKM Salem Spartans,5.0,2,2,33,16.5,16.5,91.6667,0.0
2017,S Harish Kumar,Lyca Kovai Kings,5.633,6,6,84,14.0,9.5,182.6087,213.7931
2017,S Karthik,Chepauk Super Gillies,3.778,8,8,196,24.5,24.5,112.6437,114.2857
2017,S Santosh Shiv,SKM Salem Spartans,4.0,2,2,7,3.5,3.5,63.6364,
2017,S Sujay,Nellai Royal Kings,5.429,2,2,6,3.0,3.0,85.7143,120.0
2017,S Swaminathan,IDream Tiruppur Tamizhans,7.0,1,1,15,15.0,15.0,62.5,
2017,SP Nathan,SKM Salem Spartans,4.118,6,6,149,24.8333,18.0,150.5051,150.0
2017,Sathiamoorty Vasanth Saravanan,Chepauk Super Gillies,4.759,8,8,94,11.75,11.5,123.6842,175.8621
2017,Selvam Suresh Kumar,Siechem Madurai Panthers,4.633,5,5,84,16.8,16.0,109.0909,92.8571
2017,Sivagnanan Senthilnathan,Siechem Madurai Panthers,7.0,2,2,8,4.0,4.0,80.0,100.0
2017,Subramanian Anand,SKM Salem Spartans,5.023,7,7,107,15.2857,13.0,127.381,147.3684
2017,Uthirasamy Sasidev,Chepauk Super Gillies,4.561,8,8,158,19.75,18.0,132.7731,158.3333
2017,Varun Chakravarthy Vinod,IDream Tiruppur Tamizhans,7.0,1,1,0,0.0,0.0,0.0,
2017,Wenseslaus Antony Dhas,Chepauk Super Gillies,4.566,6,6,177,29.5,32.5,166.9811,140.0
2017,Wilkins Joseph Victor,Dindigul Dragons,5.224,5,5,71,14.2,8.0,94.6667,147.619
2018,A Aarif,Chepauk Super Gillies,6.306,3,3,52,17.3333,14.0,106.1224,125.9259
2018,Abhishek Baljeetsingh Tanwar,Siechem Madurai Panthers,6.416,8,8,88,11.0,9.0,117.3333,152.1739
2018,Akash Sumra,SKM Salem Spartans,5.857,4,4,13,3.25,3.5,61.9048,60.0
2018,Akkil Srinaath,Lyca Kovai Kings,5.086,6,6,101,16.8333,5.0,127.8481,116.6667
2018,Akshay V Srinivasan,SKM Salem Spartans,4.167,3,3,99,33.0,42.0,165.0,184.6154
2018,Ashwin Venkataraman,Lyca Kovai Kings,4.169,8,8,180,22.5,21.5,101.6949,148.1481
2018,Baskaran Rahul,Chepauk Super Gillies,5.141,5,5,92,18.4,14.0,110.8434,122.7273
2018,Chandrasekar Ganapathy,Trichy Grand Cholas,5.077,6,6,63,10.5,4.0,161.5385,235.0
2018,Jagatheesan Kousik,Siechem Madurai Panthers,4.724,8,8,167,20.875,18.0,146.4912,170.0
2018,K Deeban Lingesh,VB Kanchi Veerans,4.778,3,3,40,13.3333,16.0,111.1111,120.0
2018,Laxmesha Suryaprakash,IDream Tiruppur Tamizhans,3.75,3,3,23,7.6667,8.0,71.875,100.0
2018,M Mohammed,Dindigul Dragons,6.721,5,5,79,15.8,12.0,141.0714,146.5116
2018,M Prasanth Rajesh,Lyca Kovai Kings,6.848,6,6,92,15.3333,15.5,122.6667,140.7407
2018,M Shajahan,IDream Tiruppur Tamizhans,4.798,7,7,118,16.8571,18.0,140.4762,167.5676
2018,Malolan Rangarajan,SKM Salem Spartans,6.8,5,5,52,10.4,4.0,118.1818,93.5484
2018,Mohan Abhinav,Dindigul Dragons,6.815,6,6,30,5.0,1.0,115.3846,145.0
2018,Murugan Ashwin,Chepauk Super Gillies,5.725,7,7,163,23.2857,22.0,122.5564,141.6667
