season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2017,Baba Aparajith,184,277,3.347826086956522,7,0,Middle Order (4-5)
2017,Baba Indrajith,144,193,2.1666666666666665,7,0,Top Order (3)
2017,Chandrasekar Ganapathy,65,98,5.769230769230769,6,0,Finisher (6+)
2017,Chezhian Nishaanth,48,65,3.8958333333333335,4,0,Middle Order (4-5)
2017,Ganga Sridhar Raju,150,158,1.9666666666666666,6,0,Opener (1-2)
2017,Hari Gopinath,205,251,1.0,9,1,Opener (1-2)
2017,Jagannathan Kaushik,20,19,8.9,4,0,Finisher (6+)
2017,Jagatheesan Kousik,95,104,4.28421052631579,6,0,Middle Order (4-5)
2017,K Vishal Vaidhya,141,184,1.3971631205673758,7,1,Opener (1-2)
2017,Kaushik Mohan Gandhi,237,297,2.0,9,1,Opener (1-2)
2017,Konda Bhaskir Arun Karthik,137,250,1.0,6,0,Opener (1-2)
2017,Krishnakumar Dinesh Karthik,67,100,3.2388059701492535,5,1,Middle Order (4-5)
2017,Kumaran Bharath Shankar,211,265,1.0,7,0,Opener (1-2)
2017,Lakshminarayanan Vignesh,47,74,7.148936170212766,4,0,Finisher (6+)
2017,Laxmesha Suryaprakash,141,153,1.3049645390070923,7,1,Opener (1-2)
2017,M Mohammed,53,70,5.566037735849057,4,1,Finisher (6+)
2017,M Shajahan,144,209,4.75,8,1,Middle Order (4-5)
2017,Malolan Rangarajan,69,86,4.9855072463768115,7,0,Middle Order (4-5)
2017,Masood Shahrukh Khan,60,60,3.9166666666666665,6,0,Middle Order (4-5)
2017,Murali Vijay,95,127,1.2210526315789474,4,1,Opener (1-2)
2017,Murthy Prabhu,29,32,8.172413793103448,5,0,Finisher (6+)
2017,N Sarangarajan Chaturved,150,200,1.02,7,0,Opener (1-2)
2017,Narayan Jagadeesan,101,111,2.00990099009901,5,0,Top Order (3)
2017,Poovathinga Shijit Chandran,108,126,2.074074074074074,6,0,Top Order (3)
2017,R Nilesh Subramanian,133,151,3.300751879699248,6,0,Middle Order (4-5)
2017,R Rajkumar,28,20,6.25,6,0,Finisher (6+)
2017,Rajagopal Sathish,71,70,5.845070422535211,8,1,Finisher (6+)
2017,Rajendran Vivek,70,124,6.728571428571429,5,0,Finisher (6+)
2017,Rajhamany Srinivasan,60,47,3.933333333333333,6,0,Middle Order (4-5)
2017,Ramsingh  Sanjay Yadav,85,95,3.0352941176470587,7,0,Middle Order (4-5)
2017,Ravi Karthikeyan,25,20,4.32,4,0,Middle Order (4-5)
2017,Ravi Kumar Rohith,123,186,3.3902439024390243,6,1,Middle Order (4-5)
2017,S Harish Kumar,46,84,5.6521739130434785,6,1,Finisher (6+)
2017,S Karthik,174,196,3.8045977011494254,8,1,Middle Order (4-5)
2017,S Siddharth,119,153,2.1596638655462184,7,0,Top Order (3)
2017,SP Nathan,99,149,4.141414141414141,6,1,Middle Order (4-5)
2017,Sathiamoorty Vasanth Saravanan,76,94,4.776315789473684,8,1,Middle Order (4-5)
2017,Selvam Suresh Kumar,77,84,4.636363636363637,5,0,Middle Order (4-5)
2017,Srikkanth Anirudha,194,287,1.5824742268041236,6,1,Opener (1-2)
2017,Subramaniam Badrinath,128,154,3.21875,8,1,Middle Order (4-5)
2017,Subramanian Anand,84,107,5.011904761904762,7,1,Finisher (6+)
