season,batter,batting_team,matches,runs,avg_pos,season_rank,made_playoffs,runs_per_match,proj_runs_9_matches
2016,Baba Aparajith,Nellai Royal Kings,5,293,3.0,3,0,58.6,527.4
2017,Baba Aparajith,Nellai Royal Kings,7,277,3.4,4,0,39.6,356.1
2017,Kumaran Bharath Shankar,Trichy Grand Cholas,7,265,1.0,5,0,37.9,340.7
2019,Murali Vijay,Trichy Grand Cholas,4,359,2.0,2,0,89.8,807.8
2023,Bhardwaj Sai Sudharsan,Lyca Kovai Kings,6,371,3.0,2,0,61.8,556.5
2023,Baba Aparajith,Chepauk Super Gillies,7,283,3.3,3,0,40.4,363.9
2024,Konda Bhaskir Arun Karthik,Nellai Royal Kings,7,260,1.0,4,0,37.1,334.3
