position_group,pp_runs,mid_runs,death_runs,total_runs,pp_pct,mid_pct,death_pct
Opener (1-2),14615,8567,1486,24668,59.2,34.7,6.0
Top Order (3),3158,3500,859,7517,42.0,46.6,11.4
Middle Order (4-5),4887,15616,6635,27138,18.0,57.5,24.4
Finisher (6+),452,6761,11535,18748,2.4,36.1,61.5
