season,winner,team,total_runs,matches_played,avg_batting_position,position_group,playoff_team
2016,Narayan Jagadeesan,Dindigul Dragons,397,8,1.0,Opener (1-2),Yes
2017,Washington Sundar,SKM Salem Spartans,459,9,1.0,Opener (1-2),Yes
2018,Konda Bhaskir Arun Karthik,Siechem Madurai Panthers,472,10,1.0,Opener (1-2),Yes
2019,Narayan Jagadeesan,Dindigul Dragons,448,10,2.0,Opener (1-2),Yes
2021,Chezhian Nishaanth,Dindigul Dragons,368,9,1.7,Opener (1-2),Yes
2022,Ramsingh  Sanjay Yadav,Nellai Royal Kings,452,9,4.2,Middle Order (4-5),Yes
2023,Guruswamy Ajitesh,Nellai Royal Kings,385,10,3.5,Middle Order (4-5),Yes
2024,Shivam Singh,Dindigul Dragons,364,9,1.8,Opener (1-2),Yes
2025,Tushar Raheja,IDream Tiruppur Tamizhans,488,9,2.0,Opener (1-2),Yes
