season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2017,Uthirasamy Sasidev,Chepauk Super Gillies,4.56,8,8,158,19.8,18.0,132.8,158.3,0.49,0.14,0.35,0.28,0.31,10
2017,Subramanian Anand,SKM Salem Spartans,5.02,7,7,107,15.3,13.0,127.4,147.4,-0.18,-0.04,0.07,-0.28,-0.11,11
2017,Sathiamoorty Vasanth Saravanan,Chepauk Super Gillies,4.76,8,8,94,11.8,11.5,123.7,175.9,-0.7,-0.16,0.81,-0.45,-0.12,12
2017,Malolan Rangarajan,Nellai Royal Kings,4.97,7,7,86,12.3,13.0,124.6,161.8,-0.62,-0.13,0.44,-0.28,-0.15,13
2017,Akkil Srinaath,Trichy Grand Cholas,4.42,7,7,102,14.6,11.0,127.5,133.3,-0.28,-0.03,-0.3,-0.51,-0.28,14
2017,Akash Sumra,SKM Salem Spartans,6.23,5,5,57,11.4,15.0,121.3,129.7,-0.75,-0.23,-0.4,-0.06,-0.36,15
2017,Jagatheesan Kousik,Trichy Grand Cholas,4.27,6,6,104,17.3,13.0,109.5,115.4,0.13,-0.61,-0.77,-0.28,-0.39,16
2017,Ashwin Venkataraman,Dindigul Dragons,4.53,5,5,96,19.2,19.0,104.3,83.3,0.4,-0.78,-1.62,0.39,-0.4,17
2017,Selvam Suresh Kumar,Siechem Madurai Panthers,4.63,5,5,84,16.8,16.0,109.1,92.9,0.05,-0.63,-1.37,0.05,-0.47,18
2017,Wilkins Joseph Victor,Dindigul Dragons,5.22,5,5,71,14.2,8.0,94.7,147.6,-0.34,-1.09,0.07,-0.84,-0.55,19
2017,Rajagopal Sathish,Chepauk Super Gillies,5.83,8,8,70,8.8,4.5,98.6,123.3,-1.15,-0.96,-0.57,-1.23,-0.98,20
2017,Adithya Ganesh,Trichy Grand Cholas,6.12,4,4,41,10.2,7.5,102.5,93.8,-0.92,-0.84,-1.34,-0.9,-1.0,21
2017,Ravi Karthikeyan,Siechem Madurai Panthers,4.3,4,4,20,5.0,4.0,80.0,100.0,-1.7,-1.56,-1.18,-1.29,-1.43,22
2017,R Rajkumar,IDream Tiruppur Tamizhans,6.25,6,6,20,3.3,0.5,71.4,86.4,-1.95,-1.84,-1.54,-1.68,-1.75,23
2018,Rajagopal Sathish,SKM Salem Spartans,5.36,7,7,233,33.3,24.0,182.0,207.4,2.27,2.03,1.34,1.51,1.79,1
2018,Selvam Suresh Kumar,Trichy Grand Cholas,4.31,7,7,225,32.1,35.0,131.6,196.4,2.13,0.4,1.12,2.87,1.63,2
2018,P Francis Rokins,VB Kanchi Veerans,5.34,5,5,130,26.0,16.0,144.4,206.2,1.37,0.82,1.32,0.52,1.01,3
2018,Jagatheesan Kousik,Siechem Madurai Panthers,4.72,8,8,167,20.9,18.0,146.5,170.0,0.73,0.88,0.6,0.77,0.75,4
2018,Murugan Ashwin,Chepauk Super Gillies,5.72,7,7,163,23.3,22.0,122.6,141.7,1.03,0.11,0.03,1.26,0.61,5
2018,M Shajahan,IDream Tiruppur Tamizhans,4.8,7,7,118,16.9,18.0,140.5,167.6,0.23,0.69,0.55,0.77,0.56,6
2018,S Harish Kumar,Chepauk Super Gillies,5.67,5,5,50,10.0,8.0,156.2,226.7,-0.62,1.2,1.73,-0.47,0.46,7
2018,Chandrasekar Ganapathy,Trichy Grand Cholas,5.08,6,6,63,10.5,4.0,161.5,235.0,-0.55,1.37,1.89,-0.96,0.44,8
2018,Ramsingh  Sanjay Yadav,VB Kanchi Veerans,6.29,5,5,85,17.0,12.0,144.1,173.1,0.25,0.81,0.66,0.03,0.44,9
2018,Ashwin Venkataraman,Lyca Kovai Kings,4.17,8,8,180,22.5,21.5,101.7,148.1,0.93,-0.56,0.16,1.2,0.43,10
2018,M Mohammed,Dindigul Dragons,6.72,5,5,79,15.8,12.0,141.1,146.5,0.1,0.71,0.13,0.03,0.24,11
2018,R Rajkumar,IDream Tiruppur Tamizhans,4.27,7,7,102,14.6,11.0,137.8,160.0,-0.05,0.6,0.4,-0.09,0.21,12
2018,M Prasanth Rajesh,Lyca Kovai Kings,6.85,6,6,92,15.3,15.5,122.7,140.7,0.04,0.11,0.01,0.46,0.16,13
2018,Baskaran Rahul,Chepauk Super Gillies,5.14,5,5,92,18.4,14.0,110.8,122.7,0.42,-0.27,-0.35,0.28,0.02,14
2018,Abhishek Baljeetsingh Tanwar,Siechem Madurai Panthers,6.42,8,8,88,11.0,9.0,117.3,152.2,-0.49,-0.06,0.24,-0.34,-0.16,15
2018,Akkil Srinaath,Lyca Kovai Kings,5.09,6,6,101,16.8,5.0,127.8,116.7,0.23,0.28,-0.47,-0.84,-0.2,16
2018,Uthirasamy Sasidev,Chepauk Super Gillies,4.6,7,7,100,14.3,11.0,105.3,100.0,-0.08,-0.45,-0.8,-0.09,-0.36,17
2018,RS Mokit Hariharan,VB Kanchi Veerans,4.69,4,4,59,14.8,12.5,89.4,105.3,-0.03,-0.96,-0.69,0.09,-0.4,18
2018,V Subramania Siva,VB Kanchi Veerans,5.14,4,4,59,14.8,13.0,113.5,33.3,-0.03,-0.18,-2.13,0.15,-0.55,19
2018,Ravi Karthikeyan,Siechem Madurai Panthers,4.04,5,5,49,9.8,8.0,104.3,100.0,-0.64,-0.48,-0.8,-0.47,-0.6,20
2018,Malolan Rangarajan,SKM Salem Spartans,6.8,5,5,52,10.4,4.0,118.2,93.5,-0.57,-0.03,-0.93,-0.96,-0.62,21
2018,Mohan Abhinav,Dindigul Dragons,6.81,6,6,30,5.0,1.0,115.4,145.0,-1.23,-0.12,0.1,-1.33,-0.65,22
2018,Yamuna Sunny Kumar Singh,Chepauk Super Gillies,5.9,4,4,18,4.5,2.5,60.0,110.0,-1.3,-1.91,-0.6,-1.14,-1.24,23
2018,R Kavin,IDream Tiruppur Tamizhans,5.33,5,5,17,3.4,3.0,68.0,100.0,-1.43,-1.65,-0.8,-1.08,-1.24,24
2018,Vijaykumar Yo Mahesh,IDream Tiruppur Tamizhans,6.56,4,4,19,4.8,2.5,73.1,84.2,-1.27,-1.49,-1.11,-1.14,-1.25,25
2018,Akash Sumra,SKM Salem Spartans,5.86,4,4,13,3.2,3.5,61.9,60.0,-1.45,-1.85,-1.6,-1.02,-1.48,26
