season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index
2016,M Mohammed,Lyca Kovai Kings,6.68,7,7,105,15.0,12.0,214.3,214.3,0.68,2.9,1.76,0.46,1.45
2017,Rajendran Vivek,Dindigul Dragons,6.72,5,5,124,24.8,32.0,177.1,188.1,1.23,1.56,1.14,1.84,1.44
2018,Rajagopal Sathish,SKM Salem Spartans,5.36,7,7,233,33.3,24.0,182.0,207.4,2.27,2.03,1.34,1.51,1.79
2019,Rajagopal Sathish,VB Kanchi Veerans,5.55,7,7,178,25.4,22.0,183.5,211.3,1.93,2.2,0.95,1.67,1.69
2021,Masood Shahrukh Khan,Lyca Kovai Kings,5.37,7,7,210,30.0,26.0,178.0,209.8,2.04,2.17,1.45,1.56,1.81
2022,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.2,9,9,452,50.2,55.0,186.8,230.6,3.73,1.7,1.44,4.21,2.77
2023,Sunny Sandhu,SKM Salem Spartans,5.17,5,5,182,36.4,29.0,137.9,175.0,2.88,0.4,0.37,2.06,1.42
2024,Masood Shahrukh Khan,Lyca Kovai Kings,5.31,7,7,225,32.1,50.0,182.9,250.9,1.91,1.59,2.04,3.3,2.21
2025,Masood Shahrukh Khan,Lyca Kovai Kings,5.04,7,7,218,31.1,25.0,166.4,233.3,1.89,1.07,1.33,1.31,1.4
